date, pm10, o3, no2, so2, co
2020/8/9, 15, 41, 15, , 
2020/8/10, 19, 41, 13, , 
2020/8/11, 19, 42, 7, , 
2020/8/12, 19, 34, 9, , 
2020/8/13, 27, 38, 7, , 
2020/8/14, 28, 37, 8, , 
2020/8/15, 20, 37, 6, , 
2020/8/16, 20, 36, 7, , 
2020/8/17, 16, 34, 8, , 
2020/8/18, 15, 39, 8, , 
2020/8/19, 19, 33, 11, , 
2020/8/20, 17, 32, 5, , 
2020/8/21, 18, 34, 4, , 
2020/8/22, 21, 32, 10, , 
2020/8/23, 14, 33, 7, , 
2020/8/24, 17, 33, 8, , 
2020/8/25, 16, 32, 11, , 
2020/8/26, 17, 27, 13, , 
2020/8/27, 14, 32, 11, , 
2020/8/28, 14, 23, 6, , 
2020/8/29, 9, 33, 5, , 
2020/8/30, 6, 36, 8, , 
2020/8/31, 8, 34, 11, , 
2020/9/1, 9, 44, 11, , 
2020/9/2, 10, 42, 15, , 
2020/9/3, 10, 46, 11, , 
2020/9/4, 13, 44, 11, , 
2020/9/5, 12, 45, 6, , 
2020/9/6, 11, 33, 7, , 
2020/9/7, 13, 36, 10, , 
2020/9/8, 9, 30, 12, , 
2020/9/9, 10, 41, 11, , 
2020/9/10, 9, 45, 6, , 
2020/9/11, 8, 40, 8, , 
2020/9/13, 11, 44, 21, , 
2020/9/14, 15, 41, 14, , 
2020/9/15, 17, 37, 18, , 
2020/9/16, 19, 33, 21, , 
2020/9/17, 26, 26, 23, , 
2020/9/18, 26, 34, 10, , 
2020/9/19, 19, 36, 7, , 
2020/9/20, 12, 23, 15, , 
2020/9/21, 7, 38, 13, , 
2020/9/22, 9, 41, 12, , 
2020/9/23, 11, 31, 7, , 
2020/9/24, 10, 29, 4, , 
2020/9/25, 13, 29, 4, , 
2020/9/26, 18, 23, 9, , 
2020/9/29, 14, 37, 16, , 
2020/9/30, 17, 39, 12, , 
2020/4/1, 10, 35, 3, , 
2020/4/2, 7, 40, 11, , 
2020/4/3, 9, 40, 10, , 
2020/4/4, 9, 43, 11, , 
2020/4/5, 9, 45, 17, , 
2020/4/6, 10, 47, 14, , 
2020/4/7, 10, 46, 16, , 
2020/4/9, 12, 47, 14, , 
2020/4/10, 14, 46, 14, , 
2020/4/11, 15, 47, 9, , 
2020/4/12, 14, 38, 2, , 
2020/4/13, 10, 37, 9, , 
2020/4/14, 5, 39, 14, , 
2020/4/15, 12, 33, 6, , 
2020/4/16, 19, 32, 6, , 
2020/4/17, 19, 35, 5, , 
2020/4/18, 17, 29, 3, , 
2020/4/19, 11, 22, 5, , 
2020/4/20, 3, 33, 5, , 
2020/4/21, 2, 34, 4, , 
2020/4/22, 4, 40, 10, , 
2020/4/23, 9, 41, 12, , 
2020/4/24, 11, 42, 7, , 
2020/4/25, 11, 37, 8, , 
2020/4/26, 9, 32, 5, , 
2020/4/27, 7, 37, 3, , 
2020/4/28, 8, 39, 6, , 
2020/4/29, 7, 35, 3, , 
2020/4/30, 8, 26, 5, , 
2020/5/1, 7, 30, 3, , 
2020/5/2, 8, 25, 2, , 
2020/5/3, 7, 30, 2, , 
2020/5/4, 9, 31, 2, , 
2020/5/5, 14, 38, 6, , 
2020/5/6, 17, 38, 3, , 
2020/5/7, 15, 38, 4, , 
2020/5/8, 10, 36, 3, , 
2020/5/9, 13, 34, 1, , 
