Fecha,Estado_Actual
2020-01-01,1.4718310691779284
2020-01-02,1.804763920509799
2020-01-03,1.8350387386776896
2020-01-04,1.656703375960498
2020-01-05,1.595707189832672
2020-01-06,1.641424749331133
2020-01-07,1.84645385460863
2020-01-08,1.88312976482936
2020-01-09,1.9110953546350724
2020-01-10,1.9681932989114643
2020-01-11,1.6927314375104754
2020-01-12,1.5407658343483557
2020-01-13,1.857298390232522
2020-01-14,1.9059546421951163
2020-01-15,1.9178970233852628
2020-01-16,1.9382611031518624
2020-01-17,1.9649115102542707
2020-01-18,1.6681404332417926
2020-01-19,1.515089605734767
2020-01-20,1.924371213618763
2020-01-21,1.9722966507177033
2020-01-22,1.9146256536159867
2020-01-23,1.9634963277259572
2020-01-24,1.9659125014429182
2020-01-25,1.6550611471550785
2020-01-26,1.5115544242849799
2020-01-27,1.924278453863011
2020-01-28,1.907205579404081
2020-01-29,1.9097899250245527
2020-01-30,1.9336276788593925
2020-01-31,1.9504084467907752
2020-02-01,1.6659880549338073
2020-02-02,1.564607692018497
2020-02-03,1.875436303528869
2020-02-04,1.9151988440897207
2020-02-05,1.9279913616628799
2020-02-06,1.9417037843174654
2020-02-07,1.9231020266080694
2020-02-08,1.6368786101384956
2020-02-09,1.5080424777063957
2020-02-10,1.890487906782415
2020-02-11,1.8929488295187538
2020-02-12,1.9122011541632316
2020-02-13,1.9425723032756552
2020-02-14,1.9639088340722046
2020-02-15,1.6885791152531984
2020-02-16,1.5677731589277224
2020-02-17,1.8864717878993882
2020-02-18,1.9152321995673587
2020-02-19,1.9308986915124209
2020-02-20,1.966343942470579
2020-02-21,1.949890339890674
2020-02-22,1.603021819107337
2020-02-23,1.477070569839276
2020-02-24,1.873813622406253
2020-02-25,1.8974890469684835
2020-02-26,1.9114998447365696
2020-02-27,1.9532040666114638
2020-02-28,1.952483492820338
2020-02-29,1.6266265479572017
2020-03-01,1.506213989810009
2020-03-02,1.924935551910007
2020-03-03,1.9135812708079096
2020-03-04,1.9271345758562552
2020-03-05,1.9609041487839771
2020-03-06,1.9791912877323585
2020-03-07,1.6918445407049
2020-03-08,1.6145833333333333
2020-03-09,1.8974580184208607
2020-03-10,1.916854645425067
2020-03-11,1.8910767129524244
2020-03-12,1.9022676006173573
2020-03-13,1.800118581762125
2020-03-14,1.3053831186880385
2020-03-15,1.2367763792378645
2020-03-16,1.4266248513031254
2020-03-17,1.793602462248487
2020-03-18,1.793602462248487
2020-03-19,1.793602462248487
2020-03-20,1.793602462248487
2020-03-21,1.793602462248487
2020-03-22,1.793602462248487
2020-03-23,2.0
2020-03-24,1.793602462248487
2020-03-25,1.793602462248487
2020-03-26,1.793602462248487
2020-03-27,1.793602462248487
2020-03-28,1.793602462248487
2020-03-29,1.793602462248487
2020-03-30,1.793602462248487
2020-03-31,1.793602462248487
2020-04-01,1.793602462248487
2020-04-02,1.793602462248487
2020-04-03,1.793602462248487
2020-04-04,1.793602462248487
2020-04-05,1.793602462248487
2020-04-06,1.793602462248487
2020-04-07,1.793602462248487
2020-04-08,1.793602462248487
2020-04-09,1.793602462248487
2020-04-10,1.793602462248487
2020-04-11,1.793602462248487
2020-04-12,1.793602462248487
2020-04-13,1.793602462248487
2020-04-14,1.793602462248487
2020-04-15,1.793602462248487
2020-04-16,1.793602462248487
2020-04-17,1.793602462248487
2020-04-18,1.793602462248487
2020-04-19,1.793602462248487
2020-04-20,1.793602462248487
2020-04-21,1.793602462248487
2020-04-22,1.793602462248487
2020-04-23,1.793602462248487
2020-04-24,1.793602462248487
2020-04-25,1.793602462248487
2020-04-26,1.793602462248487
2020-04-27,1.793602462248487
2020-04-28,1.793602462248487
2020-04-29,1.793602462248487
2020-04-30,1.793602462248487
2020-05-01,1.793602462248487
2020-05-02,1.793602462248487
2020-05-03,1.793602462248487
2020-05-04,1.793602462248487
2020-05-05,1.793602462248487
2020-05-06,1.793602462248487
2020-05-07,1.793602462248487
2020-05-08,1.793602462248487
2020-05-09,1.793602462248487
2020-05-10,1.793602462248487
2020-05-11,1.793602462248487
2020-05-12,1.793602462248487
2020-05-13,1.793602462248487
2020-05-14,1.793602462248487
2020-05-15,1.793602462248487
2020-05-16,1.793602462248487
2020-05-17,1.793602462248487
2020-05-18,1.793602462248487
2020-05-19,1.793602462248487
2020-05-20,1.793602462248487
2020-05-21,1.793602462248487
2020-05-22,1.793602462248487
2020-05-23,1.793602462248487
2020-05-24,1.793602462248487
2020-05-25,1.793602462248487
2020-05-26,1.793602462248487
2020-05-27,1.793602462248487
2020-05-28,1.793602462248487
2020-05-29,1.793602462248487
2020-05-30,1.793602462248487
2020-05-31,1.793602462248487
2020-06-01,1.793602462248487
2020-06-02,1.793602462248487
2020-06-03,1.793602462248487
2020-06-04,1.6997406533205117
2020-06-05,1.6698076168040832
2020-06-06,1.680143472453589
2020-06-07,1.678445577494734
2020-06-08,1.7136826919223629
2020-06-09,1.7598776774127232
2020-06-10,1.7852521535706019
2020-06-11,1.7303151515151516
2020-06-12,1.754329566741193
2020-06-13,1.5645152564380005
2020-06-14,1.6392748620821902
2020-06-15,1.7411533993679662
2020-06-16,1.7334749452463256
2020-06-17,1.7555667947018057
2020-06-18,1.7695058170562494
2020-06-19,1.7961746258461155
2020-06-20,1.7528387447850535
2020-06-21,1.6692879944102696
2020-06-22,1.8001496373707266
2020-06-23,1.7947338446811347
2020-06-24,1.57854695551299
2020-06-25,1.8004097438508817
2020-06-26,1.8366370710877251
2020-06-27,1.7104776371721528
2020-06-28,1.6437196919273558
2020-06-29,1.8006462340357787
