Fecha,Estado_Actual,findesemana
2018-01-01,1.5016106301590497,0
2018-01-02,1.855360997841209,0
2018-01-03,1.9146625914903885,0
2018-01-04,1.9175872208535325,0
2018-01-05,1.9331711273317114,0
2018-01-06,1.6747435443933498,1
2018-01-07,1.6262537392222418,1
2018-01-08,1.9458938749297583,0
2018-01-09,1.9670284828205338,0
2018-01-10,2.004945678611967,0
2018-01-11,2.0049051141846252,0
2018-01-12,2.0526491726558582,0
2018-01-13,1.7597163629835741,1
2018-01-14,1.5753141999624836,1
2018-01-15,1.9759966072943171,0
2018-01-16,2.0001666111296235,0
2018-01-17,1.9902104747919727,0
2018-01-18,2.019985376553741,0
2018-01-19,2.008444375581035,0
2018-01-20,1.8024934900970568,1
2018-01-21,1.6135488192932508,1
2018-01-22,1.957565002700409,0
2018-01-23,1.9981309866832802,0
2018-01-24,2.004802927498666,0
2018-01-25,2.022121472680372,0
2018-01-26,2.14540059347181,0
2018-01-27,1.7412705090450147,1
2018-01-28,1.5902096557030199,1
2018-01-29,1.9795175624206518,0
2018-01-30,1.997247935951964,0
2018-01-31,2.0158782666225603,0
2018-02-01,2.0702639099008238,0
2018-02-02,2.070391061452514,0
2018-02-03,1.7490497581202489,1
2018-02-04,1.5904957465532414,1
2018-02-05,2.0471000079560824,0
2018-02-06,2.0114493884985687,0
2018-02-07,2.0310917166679654,0
2018-02-08,2.0680778475614483,0
2018-02-09,2.0980200989950504,0
2018-02-10,1.7459114139693357,1
2018-02-11,1.6472970427575815,1
2018-02-12,2.051449444314914,0
2018-02-13,2.010248361185486,0
2018-02-14,2.0078451009848104,0
2018-02-15,2.0398197460057355,0
2018-02-16,2.0780228758169934,0
2018-02-17,1.7655120228686734,1
2018-02-18,1.619597086919512,1
2018-02-19,2.020827722416734,0
2018-02-20,2.0218036072144288,0
2018-02-21,2.0379257530450006,0
2018-02-22,2.016348572274005,0
2018-02-23,2.104126679462572,0
2018-02-24,1.8120564415128997,1
2018-02-25,1.6860789071627573,1
2018-02-26,2.0590004627487275,0
2018-02-27,2.022955523672884,0
2018-02-28,1.9274399196352678,0
2018-03-01,2.131053701890487,0
2018-03-02,2.2022258862324815,0
2018-03-03,1.8075689016865488,1
2018-03-04,1.6631851372585267,1
2018-03-05,2.043247791333614,0
2018-03-06,2.0430552177085866,0
2018-03-07,2.0874258780599058,0
2018-03-08,2.111347941000938,0
2018-03-09,2.089819402269458,0
2018-03-10,1.8043231935849386,1
2018-03-11,1.945907346246541,1
2018-03-12,2.016988143691382,0
2018-03-13,2.004737433756223,0
