fecha,intensidad,ocupacion,carga
2020-07-31,154,2.0,12
2020-08-01,107,1.0,8
2020-08-02,89,1.0,6
2020-08-03,128,2.0,10
2020-08-04,126,2.0,10
2020-08-05,126,2.0,10
2020-08-06,127,2.0,10
2020-08-07,124,2.0,9
2020-08-08,91,1.0,7
2020-08-09,81,1.0,6
2020-08-10,126,2.0,9
2020-08-11,111,2.0,9
2020-08-12,114,2.0,9
2020-08-13,116,2.0,9
2020-08-14,115,1.0,9
2020-08-15,83,1.0,6
2020-08-16,77,1.0,5
2020-08-17,112,1.0,9
2020-08-18,109,1.0,9
2020-08-19,111,1.0,9
2020-08-20,119,2.0,9
2020-08-21,113,1.0,9
2020-08-22,87,1.0,6
2020-08-23,79,1.0,6
2020-08-24,119,2.0,9
2020-08-25,123,2.0,10
2020-08-26,123,2.0,10
2020-08-27,124,2.0,10
2020-08-28,128,2.0,10
2020-08-29,101,1.0,7
2020-08-30,90,1.0,6
2020-08-31,142,2.0,11
2020-09-01,151,2.0,12
2020-09-02,156,2.0,13
2020-09-03,158,2.0,13
2020-09-04,163,2.0,13
2020-09-05,118,1.0,9
2020-09-06,102,1.0,7
2020-09-07,161,3.0,13
2020-09-08,165,3.0,13
2020-09-09,165,3.0,13
2020-09-10,169,3.0,14
2020-09-11,173,3.0,14
2020-09-12,122,2.0,9
2020-09-13,109,1.0,8
2020-09-14,163,3.0,13
2020-09-15,167,3.0,14
2020-09-16,170,3.0,14
2020-09-17,175,3.0,14
2020-09-18,178,3.0,14
2020-09-19,124,2.0,9
2020-09-20,105,1.0,7
2020-09-21,159,2.0,13
2020-09-22,161,3.0,13
2020-09-23,160,3.0,13
2020-09-24,164,3.0,13
2020-09-25,172,3.0,14
2020-09-26,115,1.0,8
2020-09-27,95,1.0,7
2020-09-28,158,2.0,13
2020-09-29,162,3.0,13
2020-09-30,165,3.0,13
2020-10-01,171,3.0,14
2020-10-02,180,3.0,14
2020-10-03,109,1.0,8
2020-10-04,87,1.0,6
2020-10-05,156,2.0,13
2020-10-06,161,3.0,13
2020-10-07,163,3.0,13
2020-10-08,168,3.0,14
2020-10-09,173,3.0,14
2020-10-10,96,1.0,7
2020-10-11,153,2.0,11
2020-10-12,85,1.0,6
2020-10-13,162,3.0,13
2020-10-14,165,3.0,14
2020-10-15,169,3.0,14
2020-10-16,179,3.0,14
2020-10-17,120,2.0,9
2020-10-18,96,1.0,7
2020-10-19,161,3.0,13
2020-10-20,164,3.0,13
2020-10-21,165,3.0,13
