date,pm10,no2,year,month,day,week,season,season_name,diadelasemana,findesemana,PCA1,PCA2,PCA3,PCA4,PCA5
2018-04-18,27.0,18.0,2018,4,18,16,2,Spring,2,0,-13.785574561967953,-14.585991544951758,0.2602242590520675,2.2551805196481842,-2.0803261575445258
2018-04-19,30.0,23.0,2018,4,19,16,2,Spring,3,0,75.04201755716053,-10.574950346651384,2.7153809187473397,4.34402393717086,-0.23306834296962
2018-04-20,34.0,32.0,2018,4,20,16,2,Spring,4,0,-22.751643572332544,-12.194338560072874,-0.5914838500602456,0.16903246948939116,-4.7085175918365945
2018-04-21,42.0,31.0,2018,4,21,16,2,Spring,5,1,-0.9674216051384922,-7.188416714330758,-1.0074337928368216,1.1026858900385796,-2.689645278216251
2018-04-22,52.0,26.0,2018,4,22,16,2,Spring,6,1,-2.1052825905245367,-3.873491182100886,-1.5083169169167947,0.8487669653894829,-1.0176618589536288
2018-04-23,52.0,24.0,2018,4,23,17,2,Spring,0,0,-15.927403913749476,-6.276575311171439,-1.5521676776866749,-0.1687104318646289,-4.617724827834608
2018-04-24,44.0,23.0,2018,4,24,17,2,Spring,1,0,-22.967985460134376,-6.957290003921562,-2.5846005114649735,2.4465397631085346,-5.300169232216751
2018-04-25,45.0,21.0,2018,4,25,17,2,Spring,2,0,-14.154419760326114,-3.7162201627359917,-2.616144920294305,2.436746629018108,-1.7989454134364247
2018-04-26,41.0,19.0,2018,4,26,17,2,Spring,3,0,-1.1960238113353248,-1.3274057822334395,-2.5021499144379864,1.7845784131027576,-1.6577501901390317
2018-04-27,41.0,14.0,2018,4,27,17,2,Spring,4,0,-4.378454886606578,3.382224911351609,-3.5358411202173077,1.574387169884583,-0.0754472979930959
2018-04-28,35.0,8.0,2018,4,28,17,2,Spring,5,1,-13.398263182982223,6.281449556255306,-3.4849981159426546,1.0611407367796248,-4.903914980974687
2018-04-29,33.0,13.0,2018,4,29,17,2,Spring,6,1,1.2928979198212756,11.831609869509156,-2.999109802189819,-2.1237949931224414,7.060122085252723
2018-04-30,22.0,13.0,2018,4,30,18,2,Spring,0,0,-5.936173775765106,20.50948431536621,57.92122683910502,14.196962615938624,-8.682334341479002
2018-05-01,13.0,16.0,2018,5,1,18,2,Spring,1,0,9.653133065267678,4.535769916138863,3.71433429739231,-4.1947335100774135,-1.5799034873453015
2018-05-02,10.0,23.0,2018,5,2,18,2,Spring,2,0,-3.1984778735487454,4.949798058939265,-4.16534492785123,-2.121316650566125,-5.177710718830712
2018-05-03,18.0,24.0,2018,5,3,18,2,Spring,3,0,-18.550005728927445,9.020945448643053,-3.9269006108851094,-0.9397407024520945,1.6696254988550239
2018-05-04,13.0,17.0,2018,5,4,18,2,Spring,4,0,8.738186818155821,5.873334704880952,-1.81424588940691,-3.933836066493069,-1.3793309600054988
2018-05-05,23.712691771269174,20.0,2018,5,5,18,2,Spring,5,1,74.55073555387483,4.324804609298168,3.7433997517336857,1.623064329914071,0.07991878146065219
2018-05-06,23.712691771269174,33.0,2018,5,6,18,2,Spring,6,1,-16.23290028764885,-2.5638641884181093,1.4405200391501203,0.1535935121595426,-0.8714036214319612
2018-05-07,25.0,38.0,2018,5,7,19,2,Spring,0,0,-3.2318244037053785,1.2822761439306918,-2.5596473280950605,-0.13870996123093732,-1.27610611857049
2018-05-08,38.0,25.0,2018,5,8,19,2,Spring,1,0,-3.3344259777373075,5.708597992880991,-3.5402897160685267,-0.589453654991507,-2.7908479626749445
2018-05-09,33.0,18.0,2018,5,9,19,2,Spring,2,0,-3.380346111076241,7.356736701429035,-4.145835714411829,-0.6232129747067575,-2.8962498032221737
2018-05-10,31.0,19.0,2018,5,10,19,2,Spring,3,0,-10.140250327135117,0.5421996537128232,-2.7544494940485253,-0.9146565824248061,-2.980582812807966
2018-05-11,29.0,15.0,2018,5,11,19,2,Spring,4,0,74.56103330228751,1.0034782889108362,0.11151740100173278,4.400909191151719,5.029626783902226
2018-05-12,30.0,9.0,2018,5,12,19,2,Spring,5,1,-3.7812433913732924,6.0087475352940825,10.146938535842084,-1.4649437806327041,3.7241562736289326
2018-05-13,20.0,12.0,2018,5,13,19,2,Spring,6,1,-16.098886910454674,0.3040258285128444,-1.6765480352771809,-4.991332239291668,0.28244794004538454
2018-05-14,10.0,16.0,2018,5,14,20,2,Spring,0,0,-16.063328462348437,-1.6093615761295503,-1.8711773596078929,-3.3317371432470786,-1.053826155163917
2018-05-15,15.0,19.0,2018,5,15,20,2,Spring,1,0,-14.190178207328039,-1.4029259832709646,-2.593118477172882,0.02302951584442157,0.032835353408133205
2018-05-16,25.0,23.0,2018,5,16,20,2,Spring,2,0,-2.052995067605395,-2.2846939603182017,-2.7189702618994893,1.0128677918787887,-5.384831053571626
2018-05-17,33.0,16.0,2018,5,17,20,2,Spring,3,0,-2.142404505287719,-2.1558315916667676,-2.715722176818444,2.2352922569891014,-3.3762869516586282
2018-05-18,29.0,18.0,2018,5,18,20,2,Spring,4,0,-15.059134018320963,-3.708890065236422,-3.0108672301728583,2.110869764663093,-5.112951624641413
2018-05-19,29.0,10.0,2018,5,19,20,2,Spring,5,1,-5.140978498182301,-2.340778547297232,-3.180828682598634,3.2995757827197485,-4.77068554513688
2018-05-20,22.0,13.0,2018,5,20,20,2,Spring,6,1,-11.231466817954644,-0.09165323276248148,-3.9746859796397622,3.0347370927644373,-3.8072598365947825
2018-05-21,21.0,19.0,2018,5,21,21,2,Spring,0,0,-10.26913887948648,3.1432215822519005,-4.707259954710478,2.1163962458987178,-5.308639987252127
2018-05-22,25.0,22.0,2018,5,22,21,2,Spring,1,0,-5.219687756944252,0.7466062434761704,-3.447737090169399,1.9109207347145631,-3.7448958159550054
2018-05-23,39.0,15.0,2018,5,23,21,2,Spring,2,0,-3.1709190884614977,-3.6353701292889165,-2.026172170326189,2.204206039350991,-0.36866567716229964
2018-05-24,49.0,16.0,2018,5,24,21,2,Spring,3,0,2.8723229489159507,-3.316993170585448,-2.562594329983027,3.6161211143532275,-4.104388241278891
2018-05-25,40.0,4.0,2018,5,25,21,2,Spring,4,0,-16.42085592142742,0.763081867604614,-1.5936605140975686,2.124753232169009,1.4223685914251833
2018-05-26,35.0,4.0,2018,5,26,21,2,Spring,5,1,-18.396045216761426,1.7074024644816268,-2.506746186746599,-0.20065404535102993,3.7725478589376302
2018-05-27,37.0,8.0,2018,5,27,21,2,Spring,6,1,-14.483371382471628,4.009561575289893,-3.5976667042549115,1.3406099916130934,2.8959712000306914
2018-05-28,41.0,15.0,2018,5,28,22,2,Spring,0,0,-14.338744323706916,1.5920631936433816,-3.48608704102336,1.7631115347314612,0.08074397764009243
2018-05-29,40.0,15.0,2018,5,29,22,2,Spring,1,0,-4.512327551096121,2.0103821428287545,-1.4382078546939334,4.094342036162828,1.5100943077514166
2018-05-30,31.0,14.0,2018,5,30,22,2,Spring,2,0,-4.346308742910259,2.191897721143741,-3.57945099648156,2.7138779876896444,-2.129278503049176
2018-05-31,32.0,13.0,2018,5,31,22,2,Spring,3,0,-4.100586402962204,-3.6270637138001374,-3.007379066458865,3.5484331246129037,-4.604314808508537
2018-06-01,33.0,12.0,2018,6,1,22,3,Summer,4,0,74.80688863587274,-3.4439444642854977,0.16127993205974947,6.410257881532089,-2.27801434046207
2018-06-02,24.0,15.0,2018,6,2,22,3,Summer,5,1,-16.08474429725777,-4.418206456425151,-2.0853254042130067,1.7379048117553348,-3.0303557759298627
2018-06-03,16.0,22.0,2018,6,3,22,3,Summer,6,1,-15.623175270549954,3.890542698989738,4.882640301090778,-1.2266232179018661,4.706838144549167
2018-06-04,13.0,16.0,2018,6,4,23,3,Summer,0,0,-4.338679190577861,3.5902878601294033,-4.571364554280285,2.618574657522367,-3.4038301933209465
2018-06-05,17.0,15.0,2018,6,5,23,3,Summer,1,0,-2.439918716899242,6.531696876962521,-4.156758774545751,1.3851851047112216,-1.7990015970029873
2018-06-06,20.0,16.0,2018,6,6,23,3,Summer,2,0,1.6401360619660277,3.5391002342185693,-2.2089059106857314,-0.10184540137667099,1.2229499202902274
2018-06-07,11.0,23.0,2018,6,7,23,3,Summer,3,0,-3.2779674262143184,0.19160143556683776,-1.9296136591108675,2.5683232117334214,-2.705885306957727
2018-06-08,15.0,18.0,2018,6,8,23,3,Summer,4,0,-4.3006251651089995,0.6123122429592132,-3.619107525412526,3.18924800344238,-1.8266685650996897
2018-06-09,20.0,13.0,2018,6,9,23,3,Summer,5,1,-2.3933320866134626,2.5794679631043094,-4.099030747722041,4.21066245609047,-1.5218159109630247
2018-06-10,18.0,19.0,2018,6,10,23,3,Summer,6,1,-14.518800660946992,5.189372008600418,-4.7370687898725725,3.7236733661167944,0.14564712996992865
2018-06-11,19.0,10.0,2018,6,11,24,3,Summer,0,0,-0.6823026253641759,7.252260468666119,-5.094346976300163,5.608217231409066,2.6210229996970007
2018-06-12,22.0,12.0,2018,6,12,24,3,Summer,1,0,1.3497399436455222,7.310790131661689,-4.532346456698948,4.211826167017774,2.783249061155196
2018-06-13,25.0,16.0,2018,6,13,24,3,Summer,2,0,-2.5037682988564196,4.076409970351102,-5.0136291049599855,5.877015185878261,-0.9357034732985925
2018-06-14,25.0,18.0,2018,6,14,24,3,Summer,3,0,9.588715669174086,1.5629760651010287,-3.9307160308022615,5.993494843886067,-1.4410979386774943
2018-06-15,27.0,15.0,2018,6,15,24,3,Summer,4,0,-3.283187871926188,-0.2493482377165844,-3.4377350990374436,4.1516620952654515,-2.7659512712034022
2018-06-16,24.0,11.0,2018,6,16,24,3,Summer,5,1,-3.2795469866891183,-1.8788600519652798,-2.864464854965422,4.313062795207809,-0.6693766708582637
2018-06-17,21.0,17.0,2018,6,17,24,3,Summer,6,1,-6.134276849122824,-6.300049062858351,-2.076729628489543,4.878864813536907,-1.688951848030308
2018-06-18,20.0,20.0,2018,6,18,25,3,Summer,0,0,-3.1774258217755156,-7.460802718638119,-2.152422575467067,6.957235267397765,-0.6960168563039422
2018-06-19,30.0,19.0,2018,6,19,25,3,Summer,1,0,-12.13157681978946,-8.174628263278935,-2.162423598536266,5.951623813786764,-0.9878176577119767
2018-06-20,30.0,35.0,2018,6,20,25,3,Summer,2,0,-21.078153410108687,-7.276196205354418,-3.4614457393526874,6.590749867083881,-5.437624497890531
2018-06-21,34.0,26.0,2018,6,21,25,3,Summer,3,0,-3.265639187546557,-3.696452414360441,-3.3488043947242687,7.011025815750913,-2.1051266117436604
2018-06-22,41.0,14.0,2018,6,22,25,3,Summer,4,0,74.52744085097068,-0.4150520978846872,-1.3961801498833601,10.441441207351767,0.5377245828048575
2018-06-23,30.0,13.0,2018,6,23,25,3,Summer,5,1,-11.176922363440193,-5.72743253544971,-2.638395361032231,5.614561579028294,-2.1177580351583116
2018-06-24,64.0,12.0,2018,6,24,25,3,Summer,6,1,-9.228957435657284,-3.737827143158079,-3.3770644446487097,6.256228616542946,-3.13744793238071
2018-06-25,25.0,13.0,2018,6,25,26,3,Summer,0,0,-13.324779366606004,-3.166505766204201,-3.7166874182989873,6.895956067339244,-0.5917848664897413
2018-06-26,22.0,25.0,2018,6,26,26,3,Summer,1,0,-16.205011529071204,-5.017077869859644,-3.402645198191498,6.529149440434355,-3.1185246330710363
2018-06-27,32.0,20.0,2018,6,27,26,3,Summer,2,0,-2.482463194753043,-0.3696932264367621,-3.5616311416396225,7.297376541596473,2.51995488840339
2018-06-28,36.0,15.0,2018,6,28,26,3,Summer,3,0,-4.542782292317939,4.829730858588559,-3.8637073447563464,5.40863702985996,-1.019722285097158
2018-06-29,24.0,11.0,2018,6,29,26,3,Summer,4,0,-6.496560903427262,3.894296206992497,-5.767841148730534,7.46886180002253,-3.380559832276189
2018-06-30,20.0,11.0,2018,6,30,26,3,Summer,5,1,-15.506936717833703,5.006766822144676,-6.329053981493018,6.54098598848075,-3.824260493250669
2018-07-01,23.712691771269174,11.0,2018,7,1,26,3,Summer,6,1,-15.506126876419236,5.242074016537759,-6.504979035271139,7.0008311814059,-4.687961832920342
2018-07-02,23.0,15.0,2018,7,2,27,3,Summer,0,0,-11.461860875322039,3.0128494245639135,-5.271474904497395,6.648588263466561,-2.483936719744341
2018-07-03,31.0,16.0,2018,7,3,27,3,Summer,1,0,-4.432429193086688,-0.9833568938774299,-4.337857067593296,8.556972320565372,-0.8769145060910555
2018-07-04,35.0,18.0,2018,7,4,27,3,Summer,2,0,-2.4125592573722803,0.27572126393452745,-4.938849335005729,8.645425876972597,-3.208837434283782
2018-07-05,32.0,14.0,2018,7,5,27,3,Summer,3,0,-2.4332051725695005,-2.4446561055538027,-2.839908887428683,7.102592334702687,3.3530397360644653
2018-07-06,31.0,15.0,2018,7,6,27,3,Summer,4,0,-6.248436665498445,-7.058362862197394,-2.494645993687028,8.1316992679441,-0.0778400704913453
2018-07-07,32.0,18.0,2018,7,7,27,3,Summer,5,1,-2.3588813319031816,-4.964936016932477,-2.5541060039982035,7.839851670805423,2.6513799608341593
2018-07-08,27.0,12.0,2018,7,8,27,3,Summer,6,1,-4.337251736456301,-4.9862039142080254,-3.558505232697415,9.907220980007251,-1.1186747665093777
2018-07-09,34.0,21.0,2018,7,9,28,3,Summer,0,0,-10.508243914082392,-2.00051366082274,-3.773008514156932,8.856529815693763,3.4469227224498726
2018-07-10,34.0,21.0,2018,7,10,28,3,Summer,1,0,-2.4877359660669933,-0.5796405615527781,-4.230478421259052,8.85145922584211,0.7946486890123625
2018-07-11,30.0,15.0,2018,7,11,28,3,Summer,2,0,-6.467230206075012,0.8235731110010315,-4.531105728861615,8.122064600890546,-1.4180033000184364
2018-07-12,26.0,13.0,2018,7,12,28,3,Summer,3,0,-15.429938207939248,-1.0553002604716946,-4.380429250184641,7.5427758691412565,0.08793193446653973
2018-07-13,23.0,20.0,2018,7,13,28,3,Summer,4,0,74.46455702184885,0.8683540193082834,-0.7011584128835314,9.255092867193326,2.565338770337799
2018-07-14,28.0,24.0,2018,7,14,28,3,Summer,5,1,-4.38883916146236,-1.8609278434558836,-4.453922221364805,9.415839008351286,-2.3948780573805686
2018-07-15,32.0,16.0,2018,7,15,28,3,Summer,6,1,-4.452795895448747,0.9928235403565187,-4.946716036139062,8.702625707911354,-2.718792985935387
2018-07-16,32.0,15.0,2018,7,16,29,3,Summer,0,0,9.041321274857514,6.779564792993342,5.7716906829735555,6.971602643327486,2.4699801156603285
2018-07-17,24.0,15.0,2018,7,17,29,3,Summer,1,0,-5.345918744810343,-3.5197451238972692,-3.8026324675182965,8.859708471298692,-1.29783332143469
2018-07-18,23.0,17.0,2018,7,18,29,3,Summer,2,0,-4.4030019659495085,-0.6534629725524482,-4.280479091811286,8.062463060138224,-1.7071446816002136
2018-07-19,26.0,19.0,2018,7,19,29,3,Summer,3,0,-1.4606329504861737,-0.45113371505591676,-4.345391007670869,8.811820321925778,-0.8964317408681762
2018-07-20,28.0,22.0,2018,7,20,29,3,Summer,4,0,-13.499933421826274,2.9285688574603306,-5.876450266355014,8.285121418185234,-2.9487697286030783
2018-07-21,23.0,9.0,2018,7,21,29,3,Summer,5,1,-4.537923587810485,2.190867445780717,-3.758010850011006,6.246167625341702,2.044048970266706
2018-07-22,16.0,9.0,2018,7,22,29,3,Summer,6,1,-1.5395746409611317,1.1905754171248786,0.4437824368673903,4.844106915025932,1.4680079474624157
2018-07-23,17.0,16.0,2018,7,23,30,3,Summer,0,0,-0.46353927232761644,-0.6299299218712178,-3.881792740031157,7.788513890263112,1.1618240077838566
2018-07-24,20.0,15.0,2018,7,24,30,3,Summer,1,0,-4.552162590247359,1.5465084991205242,-4.76199717438386,8.610803340352952,0.662978418182431
2018-07-25,20.0,19.0,2018,7,25,30,3,Summer,2,0,-4.446891624169009,0.33509523692469134,-4.570506295750516,8.481212267806445,-2.0876163161036976
2018-07-26,23.712691771269174,12.0,2018,7,26,30,3,Summer,3,0,-4.612644423962414,2.6721473625194707,-5.748281915892992,10.474389929890247,-0.4017554563691622
2018-07-27,28.0,20.0,2018,7,27,30,3,Summer,4,0,-4.640541501738797,3.7099244728975864,-5.491079529560099,9.14411659174497,1.0095815057606454
2018-07-28,30.0,14.0,2018,7,28,30,3,Summer,5,1,74.31781478574905,5.503507495137687,-3.1996518434308787,11.559643150623643,0.14019939232960404
2018-07-29,24.0,9.0,2018,7,29,30,3,Summer,6,1,-4.524580013571444,1.7559131169581388,-4.910950039088199,8.524540571810448,-0.6120122189997083
