date,pm10,no2,year,month,day,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presmax,presmin,week,season,season_name,estado_trafico,diadelasemana,findesemana
2018-02-06,20.0,11.0,2018,2,6,9.3,0.5,7.2,7.2,8.0,6.1,8.9,0.2,1007.8,1005.0,6,1,Winter,2.0114493884985687,1,0
2018-02-07,15.0,21.0,2018,2,7,7.8,0.0,4.6,4.6,21.0,2.8,8.3,9.0,1016.6,1007.3,6,1,Winter,2.0310917166679654,2,0
2018-02-08,12.0,24.0,2018,2,8,3.6,0.4,1.1,1.1,8.0,2.8,10.0,3.0,1019.4,1016.1,6,1,Winter,2.0680778475614483,3,0
2018-02-09,13.0,18.0,2018,2,9,5.8,0.1,1.2,1.2,22.0,2.8,9.2,6.8,1019.1,1015.2,6,1,Winter,2.0980200989950504,4,0
2018-02-10,4.0,17.0,2018,2,10,8.6,0.0,5.0,5.0,33.0,2.5,11.7,8.8,1017.9,1014.4,6,1,Winter,1.7459114139693357,5,1
2018-02-11,2.0,20.0,2018,2,11,9.6,1.3,4.6,4.6,30.0,2.8,8.9,6.4,1017.6,1012.8,6,1,Winter,1.6472970427575817,6,1
2018-02-12,3.0,20.0,2018,2,12,7.9,15.9,3.2,3.2,99.0,4.2,12.2,0.0,1019.6,1013.8,7,1,Winter,2.051449444314914,0,0
2018-02-13,8.0,24.0,2018,2,13,6.4,0.0,2.4,2.4,29.0,3.3,11.7,4.8,1019.9,1012.8,7,1,Winter,2.0102483611854858,1,0
2018-02-14,13.0,28.0,2018,2,14,7.7,0.0,4.3,4.3,32.0,2.2,7.8,0.0,1018.3,1014.2,7,1,Winter,2.0078451009848104,2,0
2018-02-15,31.0,31.0,2018,2,15,11.9,0.0,8.1,8.1,21.0,1.9,5.8,9.3,1024.2,1018.2,7,1,Winter,2.0398197460057355,3,0
2018-02-16,36.0,17.0,2018,2,16,13.6,0.0,10.8,10.8,21.0,1.7,6.4,0.0,1023.9,1020.8,7,1,Winter,2.0780228758169934,4,0
2018-02-17,31.0,14.0,2018,2,17,11.4,0.1,9.6,9.6,8.0,2.8,7.8,1.6,1022.6,1018.7,7,1,Winter,1.7655120228686734,5,1
2018-02-18,16.0,23.0,2018,2,18,11.3,0.0,8.4,8.4,26.0,1.9,7.8,7.3,1022.4,1018.0,7,1,Winter,1.6195970869195118,6,1
2018-02-19,17.0,24.0,2018,2,19,10.8,0.0,8.4,8.4,99.0,2.2,5.3,2.9,1018.0,1014.0,8,1,Winter,2.020827722416734,0,0
2018-02-20,20.0,20.0,2018,2,20,12.8,0.0,10.3,10.3,20.0,3.3,7.2,2.5,1014.1,1008.0,8,1,Winter,2.0218036072144288,1,0
2018-02-21,28.0,19.0,2018,2,21,10.6,0.0,6.1,6.1,9.0,5.8,17.5,4.5,1008.9,1005.5,8,1,Winter,2.037925753045001,2,0
2018-02-22,22.0,24.0,2018,2,22,7.2,0.0,4.1,4.1,11.0,3.9,9.4,8.0,1007.4,1004.8,8,1,Winter,2.016348572274005,3,0
2018-02-23,27.0,26.0,2018,2,23,7.8,0.0,5.2,5.2,20.0,3.6,8.9,5.9,1007.6,1005.6,8,1,Winter,2.104126679462572,4,0
2018-02-24,28.0,28.0,2018,2,24,7.8,0.0,4.1,4.1,22.0,2.8,9.2,9.6,1009.9,1007.0,8,1,Winter,1.8120564415129,5,1
2018-02-25,30.0,19.0,2018,2,25,10.8,0.0,7.0,7.0,8.0,1.4,10.3,9.1,1009.9,1006.9,8,1,Winter,1.686078907162757,6,1
2018-02-26,33.0,18.0,2018,2,26,6.4,0.1,2.4,2.4,9.0,6.4,17.2,0.2,1009.1,1005.7,9,1,Winter,2.0590004627487275,0,0
