date, pm25, pm10, o3, no2, so2, co
2020/7/29, 56, 43, , 9, , 
2020/7/30, 84, 26, , 18, , 
2020/7/31, 45, 16, , 13, , 
2020/8/1, 39, 21, , 6, , 
2020/8/2, 56, 9, , 4, , 
2020/8/3, 18, 10, , 4, , 
2020/8/4, 25, 20, , 9, , 
2020/8/5, 45, 29, , 13, , 
2020/8/6, 58, 24, , 12, , 
2020/8/7, 41, 25, , 10, , 
2020/8/8, 44, 32, , 11, , 
2020/8/9, 59, 36, , 13, , 
2020/8/10, 67, 27, , 10, , 
2020/8/11, 65, 19, , 9, , 
2020/8/12, 46, 18, , 13, , 
2020/8/13, 37, 19, , 14, , 
2020/8/14, 49, 17, , 6, , 
2020/8/15, 46, 8, , 5, , 
2020/8/16, 22, 11, , 10, , 
2020/8/17, 25, 15, , 10, , 
2020/8/18, 34, 19, , 13, , 
2020/8/19, 51, 21, , 16, , 
2020/8/20, 52, 23, , 6, , 
2020/8/21, 64, 15, , 6, , 
2020/8/22, 47, 14, , 3, , 
2020/8/23, 39, 21, , 9, , 
2020/8/24, 54, 24, , 14, , 
2020/8/25, 55, 31, , 19, , 
2020/8/26, 70, 26, , 15, , 
2020/8/27, 52, 21, , 11, , 
2020/8/28, 42, 13, , 3, , 
2020/8/29, 29, 7, , 2, , 
2020/8/30, 18, 12, , 10, , 
2020/8/31, 29, 21, , 24, , 
2020/9/1, 43, 17, , 12, , 
2020/9/2, 36, 16, , 16, , 
2020/9/3, 43, 26, , 22, , 
2020/9/4, 50, 16, , 18, , 
2020/9/5, 35, 17, , 8, , 
2020/9/6, 35, 15, , 4, , 
2020/9/7, 32, 12, , 9, , 
2020/9/8, 19, 16, , 20, , 
2020/9/9, 31, 15, , 12, , 
2020/9/10, 31, 16, , 14, , 
2020/9/11, 34, 14, , 13, , 
2020/9/12, 27, 16, , 9, , 
2020/9/13, 30, 19, , 8, , 
2020/9/14, 32, 24, , 16, , 
2020/9/15, 47, 22, , 17, , 
2020/9/16, 41, 21, , 12, , 
2020/9/17, 46, 14, , 12, , 
2020/9/18, 29, 6, , 6, , 
2020/9/19, 14, 10, , 8, , 
2020/9/20, 23, 16, , 16, , 
2020/9/21, 37, 13, , 17, , 
2020/9/22, 32, 10, , 13, , 
2020/9/23, 23, 9, , 12, , 
2020/9/24, 23, 9, , 10, , 
2020/9/25, 19, 9, , 9, , 
2020/9/26, 21, 5, , 5, , 
2020/9/27, 13, 14, , 24, , 
2020/9/28, 30, 16, , 30, , 
2020/9/29, 34, 19, , 26, , 
2020/9/30, 43, 13, , 16, , 
2020/4/1, 25, 6, , 8, , 
2020/4/2, 19, 8, , 8, , 
2020/4/3, 25, 8, , 6, , 
2020/4/4, 28, 9, , 4, , 
2020/4/5, 24, 6, , 5, , 
2020/4/6, 16, 7, , 6, , 
2020/4/7, 21, 12, , 6, , 
2020/4/8, 38, 12, , 4, , 
2020/4/9, 38, 9, , 3, , 
2020/4/10, 33, 10, , 2, , 
2020/4/11, 33, 11, , 2, , 
2020/4/12, 41, 11, , 5, , 
2020/4/13, 42, 8, , 6, , 
2020/4/14, 33, 5, , 5, , 
2020/4/15, 21, 7, , 5, , 
2020/4/16, 26, 9, , 6, , 
2020/4/17, 21, 10, , 6, , 
2020/4/18, 27, 6, , 2, , 
2020/4/19, 17, 8, , 6, , 
2020/4/20, 24, 6, , 5, , 
2020/4/21, 16, 6, , 6, , 
2020/4/22, 18, 9, , 5, , 
2020/4/23, 31, 9, , 5, , 
2020/4/24, 28, 11, , 3, , 
2020/4/25, 29, 14, , 2, , 
2020/4/26, 30, 11, , 4, , 
2020/4/27, 26, 8, , 5, , 
2020/4/28, 19, 8, , 5, , 
2020/4/29, 18, 8, , 2, , 
2020/4/30, 18, 7, , 1, , 
2020/5/1, 16, 9, , 2, , 
2020/5/2, 28, 8, , 3, , 
2020/5/3, 21, 20, , 6, , 
2020/5/4, 36, 8, , 5, , 
2020/5/5, 14, 11, , 9, , 
2020/5/6, 27, 16, , 4, , 
2020/5/7, 29, 13, , 3, , 
2020/5/8, 28, 17, , 2, , 
2020/5/9, 34, 7, , , , 
2020/5/10, 16, 6, , 3, , 
2020/5/11, 15, 8, , 6, , 
2020/5/12, 23, 8, , 5, , 
2020/5/13, 18, 7, , 8, , 
2020/5/14, 22, 6, , 4, , 
2020/5/15, 15, 7, , 1, , 
2020/5/16, 19, 11, , 2, , 
2020/5/17, 33, 11, , 7, , 
2020/5/18, 30, 10, , 7, , 
2020/5/19, 26, 10, , 8, , 
2020/5/20, 23, 12, , 11, , 
2020/5/21, 28, 18, , 9, , 
2020/5/22, 45, 18, , 6, , 
2020/5/23, 48, 13, , 1, , 
2020/5/24, 30, 18, , 5, , 
2020/5/25, 40, 11, , 4, , 
2020/5/26, 32, 11, , 3, , 
2020/5/27, 27, 14, , 4, , 
2020/5/28, 36, 15, , 7, , 
2020/5/29, 40, 16, , 9, , 
2020/5/30, 40, 20, , 5, , 
2020/5/31, 48, 16, , 11, , 
2020/6/1, 39, 22, , 11, , 
2020/6/2, 50, 21, , 10, , 
2020/6/3, 45, 16, , 8, , 
2020/6/4, 43, 11, , 8, , 
2020/6/5, 29, 15, , 4, , 
2020/6/6, 35, 11, , 4, , 
2020/6/7, 30, 6, , 4, , 
2020/6/8, 16, 7, , 5, , 
2020/6/9, 19, 10, , 9, , 
2020/6/10, 25, 17, , 9, , 
2020/6/11, 31, 10, , 5, , 
2020/6/12, 19, 10, , 5, , 
2020/6/13, 26, 11, , 7, , 
2020/6/14, 28, 13, , 9, , 
2020/6/15, 31, 7, , 8, , 
2020/6/16, 16, 11, , 7, , 
2020/6/17, 30, 12, , 8, , 
2020/6/18, 32, 17, , 9, , 
2020/6/19, 46, 15, , 11, , 
2020/6/20, 38, 15, , 9, , 
2020/6/21, 41, 19, , 7, , 
2020/6/22, 45, 24, , 13, , 
2020/6/23, 53, 21, , 10, , 
2020/6/24, 36, 23, , 10, , 
2020/6/25, 40, 22, , 11, , 
2020/6/26, 48, 12, , 8, , 
2020/6/27, 28, 8, , 6, , 
2020/6/28, 23, 14, , 12, , 
2020/6/29, 36, 25, , 12, , 
2020/6/30, 57, 21, , 14, , 
2020/1/1, 65, 21, , 28, , 
2020/1/2, 43, 34, , 30, , 
2020/1/3, 79, 6, , 9, , 
2020/1/4, 21, 12, , 22, , 
2020/1/5, 34, 21, , 25, , 
2020/1/6, 54, 32, , 38, , 
2020/1/7, 76, 32, , 45, , 
2020/1/8, 73, 24, , 39, , 
2020/1/9, 55, 18, , 19, , 
2020/1/10, 54, 11, , 20, , 
