date, pm25, pm10, o3, no2, so2, co
2020/8/3, 24, 7, , 17, , 
2020/8/4, 21, 11, , 24, , 
2020/8/5, 31, 16, , 25, , 
2020/8/6, 48, 15, , 22, , 
2020/8/7, 47, 16, , 27, , 
2020/8/8, 40, 18, , 19, , 
2020/8/9, 49, 20, , 23, , 
2020/8/10, 50, 10, , 16, , 
2020/8/11, 28, 8, , 15, , 
2020/8/12, 25, 13, , 24, , 
2020/8/13, 45, 14, , 22, , 
2020/8/14, 47, 8, , 11, , 
2020/8/15, 27, 7, , 7, , 
2020/8/16, 26, 7, , 11, , 
2020/8/17, 24, 6, , 11, , 
2020/8/18, 21, , , , , 
2020/8/21, 24, 9, , 11, , 
2020/8/22, 31, 7, , 17, , 
2020/8/23, 25, 11, , 20, , 
2020/8/24, 34, 19, , 29, , 
2020/8/25, 58, 17, , 34, , 
2020/8/26, 55, 13, , 30, , 
2020/8/27, 43, 11, , 13, , 
2020/8/28, 36, 5, , 6, , 
2020/8/29, 15, 4, , 7, , 
2020/8/30, 14, 9, , 18, , 
2020/8/31, 30, 12, , 30, , 
2020/9/1, 39, 10, , 23, , 
2020/9/2, 35, 11, , 30, , 
2020/9/3, 35, 12, , 31, , 
2020/9/4, 38, 16, , 28, , 
2020/9/5, 51, 10, , 17, , 
2020/9/6, 34, 9, , 14, , 
2020/9/7, 30, 9, , 17, , 
2020/9/8, 29, 10, , 26, , 
2020/9/9, 32, 13, , 27, , 
2020/9/10, 45, 15, , 26, , 
2020/9/11, 51, 14, , 25, , 
2020/9/12, 46, 11, , 14, , 
2020/9/13, 38, , , , , 
2020/9/15, 38, 21, , 28, , 
2020/9/16, 59, 15, , 20, , 
2020/9/17, 47, 8, , 17, , 
2020/9/18, 25, 7, , 8, , 
2020/9/19, 26, 6, , 7, , 
2020/9/20, 20, 10, , 17, , 
2020/9/21, 38, 11, , 18, , 
2020/9/22, 39, 9, , 12, , 
2020/9/23, 31, 10, , 10, , 
2020/9/24, 38, 6, , 6, , 
2020/9/25, 21, 6, , 9, , 
2020/9/26, 23, 5, , 7, , 
2020/9/27, 19, 11, , 26, , 
2020/9/28, 36, 13, , 32, , 
2020/9/29, 42, 15, , 27, , 
2020/9/30, 50, 11, , 22, , 
2020/4/1, 19, 7, , 9, , 
2020/4/2, 25, 9, , 12, , 
2020/4/3, 28, 8, , 8, , 
2020/4/4, 26, 9, , 4, , 
2020/4/5, 23, 5, , 8, , 
2020/4/6, 20, 6, , 11, , 
2020/4/7, 24, 11, , 13, , 
2020/4/8, 41, 10, , 8, , 
2020/4/9, 37, 8, , 5, , 
2020/4/10, 33, 9, , 6, , 
2020/4/11, 35, 10, , 5, , 
2020/4/12, 42, 11, , 11, , 
2020/4/13, 43, 8, , 12, , 
2020/4/14, 32, 5, , 10, , 
2020/4/15, 20, 7, , 10, , 
2020/4/16, 25, 6, , 11, , 
2020/4/17, 22, 8, , 8, , 
2020/4/18, 27, 5, , 5, , 
2020/4/19, 19, 6, , 8, , 
2020/4/20, 22, 3, , 5, , 
2020/4/21, 13, 6, , 12, , 
2020/4/22, 21, 8, , 11, , 
2020/4/23, 28, 9, , 11, , 
2020/4/24, 31, 9, , 6, , 
2020/4/25, 34, 10, , 3, , 
2020/4/26, 31, 6, , 5, , 
2020/4/27, 20, 4, , 6, , 
2020/4/28, 16, 5, , 6, , 
2020/4/29, 18, 4, , 3, , 
2020/4/30, 13, 4, , 2, , 
2020/5/1, 15, 6, , 4, , 
2020/5/2, 22, 9, , 8, , 
2020/5/3, 31, 15, , 12, , 
2020/5/4, 38, 6, , 7, , 
2020/5/5, 18, 9, , 15, , 
2020/5/6, 22, 14, , 13, , 
2020/5/7, 36, 12, , 10, , 
2020/5/8, 32, 11, , 4, , 
2020/5/9, 34, 5, , 1, , 
2020/5/10, 17, 3, , 4, , 
2020/5/11, 11, 6, , 12, , 
2020/5/12, 19, 4, , 7, , 
2020/5/13, 15, 5, , 11, , 
2020/5/14, 18, 5, , 8, , 
2020/5/15, 17, 6, , 5, , 
2020/5/16, 18, 9, , 4, , 
2020/5/17, 33, 9, , 11, , 
2020/5/18, 31, 10, , 14, , 
2020/5/19, 31, 9, , 12, , 
2020/5/20, 29, 10, , 14, , 
2020/5/21, 35, 17, , 13, , 
2020/5/22, 52, 13, , 8, , 
2020/5/23, 44, 8, , 4, , 
2020/5/24, 23, 11, , 13, , 
2020/5/25, 33, 10, , 11, , 
2020/5/26, 34, 10, , 13, , 
2020/5/27, 31, 11, , 11, , 
2020/5/28, 36, 11, , 15, , 
2020/5/29, 33, 12, , 8, , 
2020/5/30, 39, 12, , 6, , 
2020/5/31, 37, 11, , 8, , 
2020/6/1, 36, 16, , 13, , 
2020/6/2, 45, 14, , 17, , 
2020/6/3, 42, 9, , 18, , 
2020/6/4, 31, 6, , 24, , 
2020/6/5, 20, 9, , 6, , 
2020/6/6, 28, 7, , 5, , 
2020/6/7, 22, 6, , 10, , 
2020/6/8, 20, 5, , 10, , 
2020/6/9, 16, 8, , 10, , 
2020/6/10, 25, 11, , 9, , 
2020/6/11, 31, 5, , 6, , 
2020/6/12, 16, 6, , 6, , 
2020/6/13, 22, 9, , 6, , 
2020/6/14, 31, 8, , 9, , 
2020/6/15, 30, 5, , 6, , 
2020/6/16, 15, 7, , 9, , 
2020/6/17, 27, 8, , 14, , 
2020/6/18, 23, 10, , 12, , 
2020/6/19, 33, 9, , 12, , 
2020/6/20, 30, 11, , 14, , 
2020/6/21, 36, 13, , 21, , 
2020/6/22, 40, 12, , 17, , 
2020/6/23, 37, , , , , 
2020/6/25, 58, 12, , 13, , 
2020/6/26, 34, 8, , 8, , 
2020/6/27, 28, 10, , 11, , 
2020/6/28, 28, 12, , 18, , 
2020/6/29, 40, 17, , 16, , 
2020/6/30, 48, 14, , 16, , 
2020/1/1, 106, , , , , 
2020/1/7, 104, 32, , 43, , 
2020/1/8, 79, 31, , 36, , 
2020/1/9, 80, 14, , 29, , 
2020/1/10, 39, 16, , 33, , 
2020/1/11, 45, 24, , 33, , 
2020/1/12, 70, 31, , 37, , 
2020/1/13, 82, 28, , 32, , 
2020/1/14, 77, 31, , 39, , 
2020/1/15, 80, 31, , 34, , 
2020/1/16, 73, 13, , 24, , 
2020/1/17, 39, 12, , 23, , 
2020/1/18, 41, 6, , 16, , 
2020/1/19, 17, 7, , 18, , 
2020/1/20, 16, 5, , 17, , 
2020/1/21, 14, 17, , 25, , 
2020/1/22, 37, 45, , 27, , 
2020/1/23, 68, 30, , 27, , 
2020/1/24, 56, 17, , 24, , 
2020/1/25, 45, 11, , 20, , 
2020/1/26, 37, 13, , 21, , 
2020/1/27, 42, 6, , 12, , 
2020/1/28, 20, 7, , 12, , 
2020/1/29, 20, 11, , 16, , 
2020/1/30, 33, 7, , 13, , 
2020/1/31, 25, 5, , 9, , 
2020/2/1, 19, 11, , 15, , 
2020/2/2, 41, 36, , 26, , 
2020/2/3, 77, 36, , 30, , 
2020/2/4, 75, 13, , 30, , 
2020/2/5, 32, 20, , 30, , 
2020/2/6, 53, 28, , 32, , 
2020/2/7, 72, 31, , 27, , 
2020/2/8, 77, 20, , 21, , 
2020/2/9, 60, 19, , 25, , 
2020/2/10, 62, , , , , 
2020/2/13, 50, 27, , 27, , 
2020/2/14, 74, 27, , 26, , 
2020/2/15, 76, 20, , 20, , 
2020/2/16, 62, 13, , 21, , 
2020/2/17, 44, 13, , 25, , 
2020/2/18, 41, 10, , 19, , 
2020/2/19, 25, 35, , 38, , 
2020/2/20, 76, 23, , 41, , 
2020/2/21, 55, 25, , 35, , 
2020/2/22, 63, 18, , 31, , 
2020/2/23, 51, 22, , 32, , 
2020/2/24, 57, 23, , 27, , 
2020/2/25, 55, 12, , 11, , 
2020/2/26, 23, 41, , 14, , 
2020/2/27, 46, 51, , 29, , 
2020/2/28, 75, 27, , 11, , 
2020/2/29, 42, 8, , 5, , 
2020/3/1, 21, 6, , 4, , 
2020/3/2, 17, 10, , 10, , 
2020/3/3, 26, 7, , 10, , 
2020/3/4, 16, 8, , 8, , 
2020/3/5, 19, 5, , 10, , 
2020/3/6, 11, 9, , 18, , 
2020/3/7, 22, 11, , 18, , 
2020/3/8, 37, 9, , 17, , 
2020/3/9, 25, 19, , 33, , 
2020/3/10, 48, 24, , 35, , 
2020/3/11, 57, 23, , 33, , 
2020/3/12, 55, 21, , 25, , 
2020/3/13, 56, 14, , 15, , 
2020/3/14, 42, 12, , 10, , 
2020/3/15, 37, 6, , 10, , 
2020/3/16, 19, 6, , 12, , 
2020/3/17, 19, 19, , 18, , 
2020/3/18, 45, 19, , 15, , 
2020/3/19, 44, 23, , 11, , 
2020/3/20, 42, 11, , 6, , 
2020/3/21, 30, 5, , 5, , 
2020/3/22, 14, 5, , 11, , 
2020/3/23, 16, 8, , 9, , 
2020/3/24, 22, 12, , 9, , 
2020/3/25, 30, 12, , 15, , 
2020/3/26, 32, 9, , 11, , 
2020/3/27, 32, 8, , 10, , 
2020/3/28, 27, 8, , 8, , 
2020/3/29, 28, 8, , 6, , 
2020/3/30, 26, 4, , 13, , 
2020/3/31, 17, 6, , 14, , 
2019/10/1, 56, 13, , 23, , 
2019/10/2, 34, 13, , 17, , 
2019/10/3, 32, 22, , 33, , 
2019/10/4, 51, 20, , 41, , 
2019/10/5, 53, 17, , 30, , 
2019/10/6, 50, 16, , 24, , 
2019/10/7, 44, 23, , 39, , 
2019/10/8, 57, 24, , 33, , 
2019/10/9, 58, 18, , 27, , 
2019/10/10, 44, 25, , 35, , 
2019/10/11, 60, 24, , 21, , 
2019/10/12, 57, 19, , 22, , 
2019/10/13, 45, 22, , 16, , 
2019/10/14, 55, 7, , 15, , 
2019/10/15, 20, 11, , 25, , 
2019/10/16, 30, 15, , 27, , 
2019/10/17, 46, 11, , 16, , 
2019/10/18, 39, 9, , 12, , 
2019/10/19, 28, 7, , 10, , 
2019/10/20, 21, 8, , 26, , 
2019/10/21, 28, 11, , 26, , 
2019/10/22, 34, 8, , 15, , 
2019/10/23, 27, 7, , 21, , 
2019/10/24, 22, 19, , 34, , 
2019/10/25, 55, 27, , 30, , 
2019/10/26, 70, 21, , 27, , 
2019/10/27, 61, 22, , 31, , 
2019/10/28, 61, 29, , 33, , 
2019/10/29, 73, 43, , 26, , 
2019/10/30, 99, 16, , 17, , 
2019/10/31, 48, 13, , 9, , 
2019/11/1, 41, 12, , 6, , 
2019/11/2, 32, 8, , 5, , 
2019/11/3, 20, 7, , 8, , 
2019/11/4, 17, 6, , 12, , 
2019/11/5, 17, 6, , 14, , 
2019/11/6, 18, 8, , 12, , 
2019/11/7, 21, 6, , 11, , 
2019/11/8, 17, 6, , 10, , 
2019/11/9, 16, 6, , 10, , 
2019/11/10, 19, 8, , 28, , 
2019/11/11, 28, 15, , 25, , 
2019/11/12, 47, 10, , 12, , 
2019/11/13, 30, , , , , 
2019/11/15, 15, 6, , 16, , 
2019/11/16, 20, 8, , 12, , 
2019/11/17, 24, 8, , 28, , 
2019/11/18, 25, 18, , 33, , 
2019/11/19, 54, 24, , 28, , 
2019/11/20, 67, , , , , 
2019/11/22, 44, 9, , 9, , 
2019/11/23, 32, 11, , 9, , 
2019/11/24, 38, 13, , 14, , 
2019/11/25, 44, 8, , 15, , 
2019/11/26, 24, 11, , 10, , 
2019/11/27, 31, 13, , 14, , 
2019/11/28, 41, 15, , 13, , 
2019/11/29, 51, 14, , 11, , 
2019/11/30, 49, 10, , 19, , 
2019/12/1, 38, 6, , 20, , 
2019/12/2, 17, 7, , 22, , 
2019/12/3, 23, 9, , 26, , 
2019/12/4, 32, 9, , 23, , 
2019/12/5, 29, 10, , 23, , 
2019/12/6, 32, 25, , 28, , 
2019/12/7, 73, 20, , 23, , 
2019/12/8, 64, 17, , 21, , 
2019/12/9, 58, 28, , 29, , 
2019/12/10, 78, 17, , 19, , 
2019/12/11, 50, 8, , 16, , 
2019/12/12, 24, 5, , 11, , 
2019/12/13, 16, 7, , 15, , 
2019/12/14, 24, 8, , 18, , 
2019/12/15, 29, 14, , 22, , 
2019/12/16, 43, 12, , 22, , 
2019/12/17, 39, 12, , 25, , 
2019/12/18, 36, 8, , 21, , 
2019/12/19, 30, 4, , 11, , 
2019/12/20, 14, 6, , 5, , 
2019/12/21, 17, 13, , 6, , 
2019/12/22, 27, 15, , 27, , 
2019/12/23, 39, 24, , 33, , 
2019/12/24, 66, 21, , 25, , 
2019/12/25, 64, 26, , 28, , 
2019/12/26, 71, 20, , 34, , 
2019/12/27, 57, 27, , 37, , 
2019/12/28, 76, 22, , 37, , 
2019/12/29, 66, , , , , 
2019/7/2, 48, 21, , 22, , 
2019/7/3, 49, 22, , 22, , 
2019/7/4, 50, 23, , 18, , 
2019/7/5, 51, 18, , 19, , 
2019/7/6, 42, 16, , 14, , 
2019/7/7, 34, 16, , 14, , 
2019/7/8, 38, 15, , 13, , 
2019/7/9, 33, 14, , 16, , 
2019/7/10, 34, 20, , 26, , 
2019/7/11, 50, 29, , 38, , 
2019/7/12, 63, 46, , 23, , 
2019/7/13, 68, 39, , 23, , 
2019/7/14, 67, 16, , 7, , 
2019/7/15, 46, 17, , 23, , 
2019/7/16, 45, 22, , 24, , 
2019/7/17, 52, 21, , 21, , 
2019/7/18, 50, 25, , 26, , 
2019/7/19, 60, 27, , 27, , 
2019/7/20, 60, 30, , 18, , 
2019/7/21, 61, 29, , 14, , 
2019/7/22, 56, 28, , 20, , 
2019/7/23, 52, 24, , 23, , 
2019/7/24, 49, 30, , 29, , 
2019/7/25, 61, 24, , 24, , 
2019/7/26, 48, 9, , 14, , 
