date;date;pm10;pm25;o3;no2;so2
2018-04-04;2018-04-04;11.0;19.5;28.0;23.0;1.0
2018-04-05;2018-04-05;14.0;33.0;19.0;31.0;2.0
2018-04-06;2018-04-06;10.0;41.0;26.0;18.0;1.5
2018-04-07;2018-04-07;6.0;31.0;30.0;9.0;1.5
2018-04-08;2018-04-08;5.0;20.0;36.0;12.0;1.5
2018-04-09;2018-04-09;4.0;15.5;27.0;20.0;1.0
2018-04-10;2018-04-10;5.0;16.0;32.0;16.0;1.0
2018-04-11;2018-04-11;6.0;16.5;30.0;17.0;1.0
2018-04-12;2018-04-12;6.0;22.5;30.0;20.0;1.0
2018-04-13;2018-04-13;8.0;22.0;33.0;19.0;1.5
2018-04-14;2018-04-14;8.0;29.0;27.0;12.0;1.5
2018-04-15;2018-04-15;7.0;28.0;32.0;13.0;1.0
2018-04-16;2018-04-16;12.0;22.5;26.0;25.0;2.0
2018-04-17;2018-04-17;15.0;35.5;35.0;27.0;2.0
2018-04-18;2018-04-18;19.0;45.5;40.0;17.0;1.0
2018-04-19;2018-04-19;26.0;46.5;34.0;12.0;1.5
2018-04-20;2018-04-20;27.0;53.0;28.0;13.0;1.5
2018-04-21;2018-04-21;25.0;56.5;31.0;18.0;1.0
2018-04-22;2018-04-22;23.0;56.5;31.0;21.0;
2018-04-23;2018-04-23;24.0;52.0;29.5;19.0;
2018-04-24;2018-04-24;23.0;51.0;34.0;23.0;
2018-04-25;2018-04-25;24.0;55.5;29.0;22.0;1.0
2018-04-26;2018-04-26;22.0;54.0;34.0;15.0;1.0
2018-04-27;2018-04-27;14.0;48.5;34.0;8.0;1.0
2018-04-28;2018-04-28;9.0;33.5;33.0;7.0;1.0
2018-04-29;2018-04-29;6.0;22.0;32.0;12.0;1.0
2018-04-30;2018-04-30;5.0;16.0;36.0;10.0;1.0
2018-05-01;2018-05-01;7.0;17.5;36.0;13.0;1.5
2018-05-02;2018-05-02;8.0;26.0;34.0;20.0;1.0
2018-05-03;2018-05-03;8.0;28.5;33.0;11.0;1.0
2018-05-04;2018-05-04;11.0;26.0;36.0;10.0;1.0
2018-05-05;2018-05-05;12.0;35.0;41.0;8.0;1.0
2018-05-06;2018-05-06;13.0;37.5;28.0;20.0;2.0
2018-05-07;2018-05-07;14.0;38.0;26.0;28.0;2.0
2018-05-08;2018-05-08;16.0;39.5;33.0;21.0;1.0
2018-05-09;2018-05-09;12.0;50.5;33.0;14.0;1.0
2018-05-10;2018-05-10;14.0;39.5;32.0;20.0;1.0
2018-05-11;2018-05-11;13.0;43.5;34.0;9.0;1.0
2018-05-12;2018-05-12;7.0;38.5;34.0;7.0;1.0
2018-05-13;2018-05-13;6.0;22.0;34.0;14.0;1.0
2018-05-14;2018-05-14;7.0;19.0;43.0;7.0;1.0
2018-05-15;2018-05-15;11.0;24.0;44.0;12.0;2.0
2018-05-16;2018-05-16;12.0;35.0;47.0;16.0;1.0
2018-05-17;2018-05-17;14.0;36.0;38.0;17.0;1.0
2018-05-18;2018-05-18;13.0;42.0;43.0;13.0;1.0
2018-05-19;2018-05-19;10.0;41.0;46.0;8.0;1.0
2018-05-20;2018-05-20;12.0;32.0;41.0;19.0;1.0
2018-05-21;2018-05-21;12.0;40.0;33.0;25.0;1.0
2018-05-22;2018-05-22;14.0;46.0;43.0;24.0;1.0
2018-05-23;2018-05-23;14.0;50.0;31.0;20.0;1.0
2018-05-24;2018-05-24;13.0;43.0;28.5;24.0;1.0
2018-05-25;2018-05-25;11.0;41.0;35.0;17.0;1.0
2018-05-26;2018-05-26;12.0;41.0;39.5;16.0;1.0
2018-05-27;2018-05-27;12.0;39.0;24.5;21.0;1.0
2018-05-28;2018-05-28;14.0;38.0;23.0;23.0;2.0
2018-05-29;2018-05-29;12.0;45.0;28.0;20.0;2.0
2018-05-30;2018-05-30;13.0;43.0;35.0;17.0;1.0
2018-05-31;2018-05-31;18.0;44.0;30.0;23.0;2.0
2018-06-01;2018-06-01;13.0;53.0;40.0;10.0;1.5
2018-06-02;2018-06-02;14.0;39.0;36.0;12.0;1.0
2018-06-03;2018-06-03;11.0;45.0;29.0;11.0;1.0
2018-06-04;2018-06-04;11.0;34.0;26.0;12.0;1.0
2018-06-05;2018-06-05;9.0;23.0;27.0;16.0;1.0
2018-06-06;2018-06-06;15.0;24.0;30.0;20.0;2.0
2018-06-07;2018-06-07;15.0;39.0;21.0;19.0;1.5
2018-06-08;2018-06-08;12.0;46.0;28.0;14.0;1.0
2018-06-09;2018-06-09;12.0;38.0;26.0;12.0;1.0
2018-06-10;2018-06-10;10.0;37.0;27.0;12.0;1.0
2018-06-11;2018-06-11;11.0;26.0;27.5;18.0;1.0
2018-06-12;2018-06-12;12.0;29.0;32.0;12.0;1.0
2018-06-13;2018-06-13;14.0;31.0;35.0;13.0;1.0
2018-06-14;2018-06-14;17.0;40.0;39.5;20.0;2.0
2018-06-15;2018-06-15;15.0;45.0;38.5;11.0;2.0
2018-06-16;2018-06-16;14.0;36.0;39.5;7.0;2.0
2018-06-17;2018-06-17;13.0;35.0;26.0;11.0;1.0
2018-06-18;2018-06-18;15.0;32.0;40.0;13.0;2.5
2018-06-19;2018-06-19;20.0;40.0;43.5;15.0;2.0
2018-06-20;2018-06-20;23.0;45.0;41.0;17.0;2.0
2018-06-21;2018-06-21;23.0;48.0;46.0;20.0;2.0
2018-06-22;2018-06-22;23.0;53.0;59.5;12.0;1.0
2018-06-23;2018-06-23;34.0;54.0;53.0;12.0;1.0
2018-06-24;2018-06-24;47.5;61.0;57.0;21.5;2.0
2018-06-25;2018-06-25;49.5;74.5;53.0;19.5;2.0
2018-06-26;2018-06-26;43.0;79.0;35.0;19.5;2.0
2018-06-27;2018-06-27;31.0;70.0;34.0;18.0;2.0
2018-06-28;2018-06-28;26.5;61.0;40.0;14.5;2.0
2018-06-29;2018-06-29;25.0;59.0;36.0;9.0;2.0
2018-06-30;2018-06-30;17.0;54.0;34.0;6.5;2.0
2018-07-01;2018-07-01;17.0;39.0;37.0;13.5;2.0
2018-07-02;2018-07-02;19.5;41.0;40.0;19.5;2.0
2018-07-03;2018-07-03;20.5;46.5;35.0;19.5;2.0
2018-07-04;2018-07-04;17.5;49.0;45.0;16.5;2.0
2018-07-05;2018-07-05;19.0;43.5;44.0;17.5;2.0
2018-07-06;2018-07-06;22.5;45.0;48.0;15.0;2.0
2018-07-07;2018-07-07;22.5;54.0;51.0;10.0;2.0
2018-07-08;2018-07-08;22.0;56.5;43.0;17.0;2.0
2018-07-09;2018-07-09;23.5;55.0;53.0;15.5;2.0
2018-07-10;2018-07-10;25.5;56.5;44.0;17.5;2.0
2018-07-11;2018-07-11;24.0;59.0;56.0;17.0;3.0
2018-07-12;2018-07-12;30.5;57.0;44.0;15.5;2.0
2018-07-13;2018-07-13;30.0;63.0;48.0;14.5;2.0
2018-07-14;2018-07-14;23.5;62.0;39.0;9.0;2.0
2018-07-15;2018-07-15;18.5;54.5;48.0;12.5;2.0
2018-07-16;2018-07-16;21.0;47.0;46.0;18.0;2.0
2018-07-17;2018-07-17;30.0;53.0;41.0;19.0;2.0
2018-07-18;2018-07-18;28.5;57.0;38.0;24.0;2.0
2018-07-19;2018-07-19;27.5;60.0;38.0;20.0;2.0
2018-07-20;2018-07-20;18.0;57.0;45.0;6.5;1.0
2018-07-21;2018-07-21;16.0;47.0;54.0;9.0;1.0
2018-07-22;2018-07-22;23.0;45.5;43.0;17.5;1.0
2018-07-23;2018-07-23;23.5;58.5;39.0;19.0;2.0
2018-07-24;2018-07-24;26.0;54.0;43.0;23.5;2.0
2018-07-25;2018-07-25;31.0;53.5;42.0;26.0;2.0
2018-07-26;2018-07-26;28.5;62.0;40.0;24.5;2.0
2018-07-27;2018-07-27;21.0;60.0;48.0;11.0;1.0
2018-07-28;2018-07-28;18.5;53.0;43.0;8.0;1.0
2018-07-29;2018-07-29;20.5;43.0;44.0;19.5;2.0
2018-07-30;2018-07-30;21.5;49.0;50.0;20.0;2.0
2018-07-31;2018-07-31;27.0;56.0;65.0;27.5;2.0
2018-08-01;2018-08-01;35.0;65.5;56.0;31.0;2.0
2018-08-02;2018-08-02;49.5;76.5;49.0;19.0;2.0
2018-08-03;2018-08-03;54.0;90.0;54.0;10.0;2.0
2018-08-04;2018-08-04;46.5;82.0;64.0;8.0;2.0
2018-08-05;2018-08-05;49.5;72.0;54.0;19.5;1.0
2018-08-06;2018-08-06;66.0;80.0;39.0;17.5;2.0
2018-08-07;2018-08-07;52.0;90.0;40.0;13.0;2.0
2018-08-08;2018-08-08;31.5;70.0;48.0;11.5;1.0
2018-08-09;2018-08-09;25.5;53.5;43.0;9.5;1.0
2018-08-10;2018-08-10;32.0;45.5;49.0;10.5;1.0
2018-08-11;2018-08-11;39.0;60.0;45.0;14.0;2.0
2018-08-12;2018-08-12;31.0;70.0;35.0;13.5;2.0
2018-08-13;2018-08-13;19.5;58.0;48.0;10.5;1.0
2018-08-14;2018-08-14;20.0;50.0;48.0;7.0;2.0
2018-08-15;2018-08-15;27.5;52.0;44.0;12.5;2.5
2018-08-16;2018-08-16;22.5;60.5;58.0;10.5;3.0
2018-08-17;2018-08-17;15.5;58.5;50.5;4.5;2.0
2018-08-18;2018-08-18;17.0;50.5;50.0;11.0;2.0
2018-08-19;2018-08-19;20.5;52.0;52.5;14.5;3.0
2018-08-20;2018-08-20;21.0;57.0;29.0;20.0;2.0
2018-08-21;2018-08-21;23.5;56.5;57.0;16.0;2.0
2018-08-22;2018-08-22;28.0;56.0;55.0;23.0;2.0
2018-08-23;2018-08-23;25.5;63.0;51.0;15.5;1.0
2018-08-24;2018-08-24;21.0;63.0;50.5;9.5;1.0
2018-08-25;2018-08-25;20.5;54.0;49.5;10.0;1.0
2018-08-26;2018-08-26;23.0;54.0;54.5;24.5;1.0
2018-08-27;2018-08-27;39.0;61.0;39.0;22.0;1.5
2018-08-28;2018-08-28;38.0;74.0;46.5;21.0;1.5
2018-08-29;2018-08-29;33.0;71.0;50.5;17.0;1.5
2018-08-30;2018-08-30;30.5;63.0;55.5;17.0;1.0
2018-08-31;2018-08-31;27.0;66.0;56.0;14.0;1.0
2018-09-01;2018-09-01;35.0;60.0;49.5;15.0;1.5
2018-09-02;2018-09-02;49.0;69.0;47.0;18.0;2.0
2018-09-03;2018-09-03;48.5;78.0;47.5;20.0;2.0
2018-09-04;2018-09-04;42.5;76.0;37.5;16.5;2.0
2018-09-05;2018-09-05;34.0;66.0;46.5;19.0;2.0
2018-09-06;2018-09-06;26.0;59.0;44.5;14.0;1.0
2018-09-07;2018-09-07;21.5;57.0;32.0;15.0;1.0
2018-09-08;2018-09-08;19.5;52.0;43.5;20.0;1.5
2018-09-09;2018-09-09;15.0;52.0;39.5;14.0;1.0
2018-09-10;2018-09-10;17.5;44.0;37.0;17.0;1.0
2018-09-11;2018-09-11;23.5;49.0;38.0;23.5;2.0
2018-09-12;2018-09-12;26.0;54.0;44.0;31.0;2.0
2018-09-13;2018-09-13;24.0;60.0;43.0;23.0;1.5
2018-09-14;2018-09-14;22.0;53.0;40.0;12.0;1.0
2018-09-15;2018-09-15;15.0;45.0;42.0;15.5;1.0
2018-09-16;2018-09-16;25.5;32.0;33.0;21.5;2.0
2018-09-17;2018-09-17;26.5;48.0;32.0;25.0;2.0
2018-09-18;2018-09-18;26.5;52.0;41.0;31.0;2.0
2018-09-19;2018-09-19;31.0;60.0;35.0;31.5;2.0
2018-09-20;2018-09-20;30.0;64.0;38.0;30.0;2.0
2018-09-21;2018-09-21;26.0;57.0;42.0;21.5;2.0
2018-09-22;2018-09-22;24.5;56.0;53.0;21.5;2.0
2018-09-23;2018-09-23;17.5;53.0;30.0;15.5;2.0
2018-09-24;2018-09-24;21.5;39.0;34.0;23.0;2.0
2018-09-25;2018-09-25;24.0;39.0;28.0;12.5;2.0
2018-09-26;2018-09-26;28.0;46.0;33.0;26.5;2.0
2018-09-27;2018-09-27;30.5;48.0;35.0;30.5;2.5
2018-09-28;2018-09-28;28.5;54.0;42.0;26.0;2.5
2018-09-29;2018-09-29;26.5;58.0;38.0;23.0;2.0
2018-09-30;2018-09-30;19.0;59.0;32.0;15.5;2.0
2018-10-01;2018-10-01;19.0;42.0;29.0;23.0;2.0
2018-10-02;2018-10-02;21.5;33.0;24.0;26.0;2.0
2018-10-03;2018-10-03;24.0;36.0;25.0;32.0;2.5
2018-10-04;2018-10-04;33.0;42.0;30.0;37.0;3.0
2018-10-05;2018-10-05;31.5;58.5;35.0;29.5;2.0
2018-10-06;2018-10-06;21.0;60.5;32.0;6.5;2.0
2018-10-07;2018-10-07;16.0;37.5;26.5;17.0;2.5
2018-10-08;2018-10-08;16.0;21.0;27.5;15.0;3.0
2018-10-09;2018-10-09;17.0;27.0;25.0;24.0;3.0
2018-10-10;2018-10-10;25.0;43.0;16.5;24.0;2.5
2018-10-11;2018-10-11;19.0;58.0;19.0;18.0;2.5
2018-10-12;2018-10-12;21.0;51.0;23.5;27.0;3.0
2018-10-13;2018-10-13;17.0;57.0;28.0;11.0;2.5
2018-10-14;2018-10-14;12.0;47.0;23.5;18.0;3.0
2018-10-15;2018-10-15;20.0;28.0;24.0;27.0;4.0
2018-10-16;2018-10-16;20.0;47.0;24.5;24.0;4.0
2018-10-17;2018-10-17;19.0;46.0;24.0;25.0;3.5
2018-10-18;2018-10-18;13.0;46.0;22.0;21.0;3.5
2018-10-19;2018-10-19;13.0;35.0;23.5;15.0;3.0
2018-10-20;2018-10-20;20.0;33.0;25.0;16.0;3.0
2018-10-21;2018-10-21;31.0;46.0;25.5;32.0;3.0
2018-10-22;2018-10-22;31.0;62.0;29.0;31.0;4.0
2018-10-23;2018-10-23;42.0;62.0;19.0;44.0;4.0
2018-10-24;2018-10-24;43.0;72.0;19.5;42.0;4.0
2018-10-25;2018-10-25;39.0;68.0;9.0;42.0;4.0
2018-10-26;2018-10-26;26.0;71.0;19.5;22.0;4.0
2018-10-27;2018-10-27;12.0;59.0;24.5;13.0;4.0
2018-10-28;2018-10-28;9.0;30.0;26.0;14.0;4.0
2018-10-29;2018-10-29;11.0;21.0;22.5;20.0;3.0
2018-10-30;2018-10-30;12.0;32.0;19.5;18.0;4.0
2018-10-31;2018-10-31;19.0;32.0;20.5;22.0;4.0
2018-11-01;2018-11-01;14.0;50.0;20.5;15.0;4.0
2018-11-02;2018-11-02;16.0;40.0;22.0;27.0;4.5
2018-11-03;2018-11-03;22.0;42.0;19.5;22.0;5.0
2018-11-04;2018-11-04;14.0;62.0;20.5;18.0;4.0
2018-11-05;2018-11-05;12.0;42.0;24.5;16.0;4.0
2018-11-06;2018-11-06;14.0;27.0;22.0;23.0;4.5
2018-11-07;2018-11-07;19.0;36.0;18.5;27.0;5.0
2018-11-08;2018-11-08;13.0;50.0;22.0;11.0;4.0
2018-11-09;2018-11-09;10.0;32.0;24.5;12.0;3.0
2018-11-10;2018-11-10;12.0;22.0;45.0;14.0;3.0
2018-11-11;2018-11-11;17.0;31.0;26.0;28.0;3.5
2018-11-12;2018-11-12;22.0;44.0;10.5;25.0;4.0
2018-11-13;2018-11-13;33.0;49.0;11.5;23.0;3.0
