date;date;pm10;pm25;o3;no2;so2
2019-02-14;2019-02-14;32.5;55.5;15.0;35.0;6.0
2019-02-15;2019-02-15;31.5;63.5;28.0;20.0;5.0
2019-02-16;2019-02-16;17.5;61.5;34.0;17.5;5.0
2019-02-17;2019-02-17;24.5;41.0;20.0;22.5;5.0
2019-02-18;2019-02-18;36.0;48.5;26.0;26.5;5.0
2019-02-19;2019-02-19;42.0;59.5;28.0;32.0;5.0
2019-02-20;2019-02-20;46.0;66.5;30.0;28.5;6.0
2019-02-21;2019-02-21;41.5;69.5;28.0;36.5;7.5
2019-02-22;2019-02-22;35.5;64.0;24.0;34.0;6.5
2019-02-23;2019-02-23;35.5;61.5;39.0;24.0;5.0
2019-02-24;2019-02-24;34.5;62.0;30.0;39.5;7.0
2019-02-25;2019-02-25;37.0;64.0;31.0;30.5;5.0
2019-02-26;2019-02-26;25.0;69.0;33.0;33.0;5.5
2019-02-27;2019-02-27;27.5;49.5;23.0;38.5;6.0
2019-02-28;2019-02-28;30.0;53.0;38.0;25.5;4.5
2019-03-01;2019-03-01;26.0;56.0;24.0;24.0;4.5
2019-03-02;2019-03-02;21.5;54.0;28.0;21.0;5.0
2019-03-03;2019-03-03;14.5;52.0;23.0;11.5;3.5
2019-03-04;2019-03-04;13.5;35.5;28.0;12.5;4.0
2019-03-05;2019-03-05;13.5;26.0;23.0;14.5;4.0
2019-03-06;2019-03-06;9.0;28.0;26.0;15.5;4.0
2019-03-07;2019-03-07;13.5;19.0;24.0;21.5;4.5
2019-03-08;2019-03-08;14.5;27.0;33.0;21.5;4.5
2019-03-09;2019-03-09;19.5;38.0;26.0;20.0;4.5
2019-03-10;2019-03-10;15.0;55.5;30.0;19.0;4.5
2019-03-11;2019-03-11;14.5;45.5;34.0;20.0;4.5
2019-03-12;2019-03-12;13.5;36.5;36.0;13.0;5.0
2019-03-13;2019-03-13;11.0;31.5;31.0;21.0;5.0
2019-03-14;2019-03-14;17.5;20.5;27.0;33.0;6.5
2019-03-15;2019-03-15;23.0;38.0;37.0;21.5;5.0
2019-03-16;2019-03-16;18.5;47.5;33.0;14.5;4.5
2019-03-17;2019-03-17;17.0;39.0;34.0;10.5;5.0
2019-03-18;2019-03-18;10.0;27.0;37.0;12.5;4.0
2019-03-19;2019-03-19;9.5;16.0;37.0;13.0;4.0
2019-03-20;2019-03-20;12.5;16.0;36.0;19.5;4.5
2019-03-21;2019-03-21;19.5;25.5;39.0;21.5;5.0
2019-03-22;2019-03-22;21.5;44.0;37.0;15.5;4.5
2019-03-23;2019-03-23;20.5;47.0;37.0;11.0;4.5
2019-03-24;2019-03-24;18.0;48.0;40.0;15.0;4.5
2019-03-25;2019-03-25;16.0;38.5;41.0;12.0;4.5
2019-03-26;2019-03-26;15.5;32.5;31.0;24.5;5.0
2019-03-27;2019-03-27;19.0;31.0;40.0;20.5;5.0
2019-03-28;2019-03-28;21.5;37.0;43.0;16.0;4.5
2019-03-29;2019-03-29;18.5;39.0;46.0;13.0;5.0
2019-03-30;2019-03-30;20.0;37.0;31.0;12.0;4.5
2019-03-31;2019-03-31;12.0;45.5;30.0;17.0;4.0
2019-04-01;2019-04-01;15.0;29.5;35.0;21.0;5.5
2019-04-02;2019-04-02;15.5;39.0;40.0;17.0;4.5
2019-04-03;2019-04-03;12.0;38.5;42.0;16.5;5.0
2019-04-04;2019-04-04;10.5;23.0;34.0;17.5;4.0
2019-04-05;2019-04-05;6.0;20.0;37.0;9.0;4.0
2019-04-06;2019-04-06;6.0;18.5;40.0;9.0;2.0
2019-04-07;2019-04-07;7.5;16.5;41.0;14.0;4.5
2019-04-08;2019-04-08;9.0;23.5;36.0;12.5;4.0
2019-04-09;2019-04-09;7.0;20.5;28.5;13.5;5.0
2019-04-10;2019-04-10;9.5;16.5;30.0;18.5;5.0
2019-04-11;2019-04-11;11.5;20.5;35.0;21.0;4.5
2019-04-12;2019-04-12;16.0;27.0;43.0;21.0;5.0
2019-04-13;2019-04-13;14.0;43.5;29.0;12.5;5.0
2019-04-14;2019-04-14;15.5;41.5;29.0;14.5;5.0
2019-04-15;2019-04-15;14.5;43.0;31.0;15.0;5.0
2019-04-16;2019-04-16;17.5;27.5;39.0;9.0;5.0
2019-04-17;2019-04-17;18.0;37.5;43.0;8.0;4.5
2019-04-18;2019-04-18;5.5;37.5;30.0;9.0;4.5
2019-04-19;2019-04-19;10.0;16.0;41.0;6.0;4.0
2019-04-20;2019-04-20;11.5;29.0;38.0;6.5;4.0
2019-04-21;2019-04-21;13.0;29.5;35.0;13.5;4.0
2019-04-22;2019-04-22;14.5;36.5;35.0;14.5;4.5
2019-04-23;2019-04-23;6.5;41.0;27.0;16.5;4.5
2019-04-24;2019-04-24;7.5;16.5;28.0;10.5;4.0
2019-04-25;2019-04-25;9.0;17.5;29.0;13.5;4.0
2019-04-26;2019-04-26;12.0;19.5;20.5;23.5;5.0
2019-04-27;2019-04-27;13.5;30.0;42.0;13.0;4.5
2019-04-28;2019-04-28;11.0;35.0;40.0;16.0;4.5
2019-04-29;2019-04-29;13.0;29.5;40.0;15.5;4.5
2019-04-30;2019-04-30;13.5;30.0;29.0;7.5;4.0
2019-05-01;2019-05-01;9.5;29.5;50.0;7.5;4.0
2019-05-02;2019-05-02;11.5;26.0;36.0;10.0;2.0
2019-05-03;2019-05-03;8.5;28.5;43.0;7.0;4.0
2019-05-04;2019-05-04;8.0;19.5;42.0;7.5;4.0
2019-05-05;2019-05-05;10.5;19.0;46.0;18.5;4.5
2019-05-06;2019-05-06;16.0;24.0;34.0;11.0;4.5
2019-05-07;2019-05-07;13.0;36.0;32.0;7.0;4.0
2019-05-08;2019-05-08;11.5;24.5;33.0;10.5;4.5
2019-05-09;2019-05-09;10.0;19.5;24.0;8.0;4.0
2019-05-10;2019-05-10;12.5;20.5;44.0;11.0;3.0
2019-05-11;2019-05-11;11.0;28.0;38.0;8.0;3.0
2019-05-12;2019-05-12;10.0;21.0;34.0;17.0;3.0
2019-05-13;2019-05-13;13.5;22.5;42.0;16.5;4.0
2019-05-14;2019-05-14;19.0;29.0;38.0;20.5;4.0
2019-05-15;2019-05-15;16.0;41.0;31.0;13.0;3.0
2019-05-16;2019-05-16;19.0;37.5;31.0;10.0;3.0
2019-05-17;2019-05-17;7.5;30.0;37.0;6.5;3.0
2019-05-18;2019-05-18;6.0;16.0;42.0;8.0;3.0
2019-05-19;2019-05-19;8.5;17.0;37.0;14.0;4.5
2019-05-20;2019-05-20;11.0;20.5;46.0;17.0;4.5
2019-05-21;2019-05-21;13.5;28.5;51.0;15.0;4.5
2019-05-22;2019-05-22;20.5;35.0;45.0;21.0;4.0
2019-05-23;2019-05-23;18.0;48.5;38.0;9.5;4.0
2019-05-24;2019-05-24;10.0;37.5;36.0;5.5;4.0
2019-05-25;2019-05-25;8.0;23.5;35.0;6.5;3.0
2019-05-26;2019-05-26;9.5;20.0;36.0;14.5;4.0
2019-05-27;2019-05-27;11.0;24.0;41.0;8.5;3.0
2019-05-28;2019-05-28;10.5;22.5;32.0;8.5;4.0
2019-05-29;2019-05-29;10.0;20.5;37.0;11.5;3.0
2019-05-30;2019-05-30;12.0;21.5;52.0;15.5;4.0
2019-05-31;2019-05-31;18.0;25.0;55.0;12.5;4.0
2019-06-01;2019-06-01;17.5;35.5;56.0;11.0;3.0
2019-06-02;2019-06-02;20.5;37.5;51.0;19.5;4.0
2019-06-03;2019-06-03;22.0;48.0;38.0;11.0;4.0
2019-06-04;2019-06-04;16.0;44.0;35.0;8.0;3.0
2019-06-05;2019-06-05;12.5;29.5;42.0;12.0;3.5
2019-06-06;2019-06-06;14.5;24.0;38.0;10.5;5.0
2019-06-07;2019-06-07;10.5;25.0;45.0;8.0;4.0
2019-06-08;2019-06-08;19.0;22.0;40.0;7.5;4.0
2019-06-09;2019-06-09;13.5;35.5;41.0;13.0;4.0
2019-06-10;2019-06-10;12.5;28.0;36.0;9.5;4.0
2019-06-11;2019-06-11;9.5;27.5;44.0;13.5;4.0
2019-06-12;2019-06-12;16.0;18.5;46.0;14.0;4.5
2019-06-13;2019-06-13;19.0;29.5;34.0;14.0;4.5
2019-06-14;2019-06-14;15.5;37.0;41.0;8.0;4.0
2019-06-15;2019-06-15;14.0;29.5;42.0;14.0;4.0
2019-06-16;2019-06-16;19.0;30.0;38.0;19.0;5.0
2019-06-17;2019-06-17;20.0;40.0;33.0;15.0;4.0
2019-06-18;2019-06-18;18.0;42.0;22.0;9.5;4.0
2019-06-19;2019-06-19;16.5;32.0;24.0;12.0;4.0
2019-06-20;2019-06-20;15.5;30.0;33.0;11.0;4.0
2019-06-21;2019-06-21;14.0;33.0;40.0;10.5;4.0
2019-06-22;2019-06-22;22.0;31.0;39.0;16.0;4.0
2019-06-23;2019-06-23;24.5;51.5;33.0;13.0;4.0
2019-06-24;2019-06-24;23.5;48.0;23.0;15.0;4.0
2019-06-25;2019-06-25;31.5;41.0;41.0;14.5;4.0
2019-06-26;2019-06-26;44.0;56.5;39.0;13.0;4.0
2019-06-27;2019-06-27;43.0;64.0;43.0;14.5;4.0
2019-06-28;2019-06-28;27.0;58.0;62.0;12.0;4.0
2019-06-29;2019-06-29;29.5;48.0;50.0;11.0;3.0
2019-06-30;2019-06-30;32.0;54.0;45.0;15.0;5.0
2019-07-01;2019-07-01;28.5;57.0;57.0;13.5;5.0
2019-07-02;2019-07-02;26.5;53.0;49.0;11.0;5.0
2019-07-03;2019-07-03;27.0;53.0;45.0;9.5;4.0
2019-07-04;2019-07-04;30.0;50.0;45.0;14.5;4.5
2019-07-05;2019-07-05;22.0;51.5;42.0;12.5;4.5
2019-07-06;2019-07-06;18.0;47.0;44.0;10.5;4.5
2019-07-07;2019-07-07;20.5;38.5;41.0;11.5;4.5
2019-07-08;2019-07-08;17.5;41.0;51.0;11.5;4.5
2019-07-09;2019-07-09;14.5;37.0;60.0;14.0;4.5
2019-07-10;2019-07-10;21.0;33.5;65.0;25.5;4.5
2019-07-11;2019-07-11;28.5;45.5;58.0;22.0;4.0
2019-07-12;2019-07-12;46.0;53.5;42.0;14.5;4.0
2019-07-13;2019-07-13;38.5;66.5;40.0;6.0;5.0
2019-07-14;2019-07-14;17.0;61.0;46.0;14.0;5.0
2019-07-15;2019-07-15;19.0;46.0;52.0;13.0;5.0
2019-07-16;2019-07-16;27.5;41.0;50.0;14.5;4.5
2019-07-17;2019-07-17;25.0;52.0;69.0;14.5;5.0
2019-07-18;2019-07-18;25.0;50.5;57.0;14.0;5.0
2019-07-19;2019-07-19;27.0;50.0;59.0;7.5;3.0
2019-07-20;2019-07-20;33.0;50.5;51.0;6.0;4.0
2019-07-21;2019-07-21;36.0;55.5;41.0;10.5;4.0
2019-07-22;2019-07-22;32.5;55.5;51.0;11.5;5.0
2019-07-23;2019-07-23;31.0;51.0;54.0;15.5;5.0
2019-07-24;2019-07-24;31.0;53.0;38.0;18.0;5.0
2019-07-25;2019-07-25;26.0;59.0;30.0;14.0;4.0
2019-07-26;2019-07-26;13.0;48.0;28.0;8.0;4.0
2019-07-27;2019-07-27;10.0;25.0;36.0;5.0;3.0
2019-07-28;2019-07-28;14.0;19.0;27.0;13.0;2.0
2019-07-29;2019-07-29;14.0;29.0;36.0;10.0;2.0
2019-07-30;2019-07-30;20.0;30.0;23.0;6.0;2.0
2019-07-31;2019-07-31;28.5;37.0;41.0;9.0;2.0
2019-08-01;2019-08-01;25.0;57.5;54.0;13.0;2.0
2019-08-02;2019-08-02;22.5;51.5;52.0;11.5;2.0
2019-08-03;2019-08-03;21.0;51.5;46.0;10.5;2.0
2019-08-04;2019-08-04;21.5;49.5;43.0;14.0;2.0
2019-08-05;2019-08-05;20.0;50.5;42.0;11.0;4.0
2019-08-06;2019-08-06;16.0;42.0;27.0;8.0;4.0
2019-08-07;2019-08-07;13.0;30.0;28.0;7.0;4.0
2019-08-08;2019-08-08;13.0;28.0;14.0;4.0;3.0
2019-08-09;2019-08-09;11.0;25.0;40.0;5.0;3.0
2019-08-10;2019-08-10;13.0;26.0;42.0;6.0;3.0
2019-08-11;2019-08-11;12.0;32.0;38.0;7.0;3.0
2019-08-12;2019-08-12;12.0;25.0;40.0;8.0;3.0
2019-08-13;2019-08-13;14.0;22.0;49.0;13.0;2.5
2019-08-14;2019-08-14;17.0;32.5;44.0;10.5;2.5
2019-08-15;2019-08-15;14.0;39.5;42.0;7.0;2.0
2019-08-16;2019-08-16;17.0;37.0;42.0;13.5;2.5
2019-08-17;2019-08-17;17.0;41.0;41.0;13.0;3.0
2019-08-18;2019-08-18;12.0;39.0;32.0;10.0;4.0
2019-08-19;2019-08-19;13.0;32.0;35.0;6.0;3.0
2019-08-20;2019-08-20;14.0;31.0;41.0;7.5;3.0
2019-08-21;2019-08-21;18.5;36.0;45.0;13.5;4.0
2019-08-22;2019-08-22;17.5;43.0;54.0;19.0;3.0
2019-08-23;2019-08-23;18.0;47.5;60.0;17.0;5.0
2019-08-24;2019-08-24;18.5;51.0;44.0;7.5;3.0
2019-08-25;2019-08-25;16.5;51.5;31.0;9.5;3.5
2019-08-26;2019-08-26;15.5;47.5;46.0;12.5;3.5
2019-08-27;2019-08-27;18.5;48.5;56.0;23.0;3.0
2019-08-28;2019-08-28;21.5;54.5;58.0;23.0;3.5
2019-08-29;2019-08-29;20.5;55.0;54.0;16.0;3.5
2019-08-30;2019-08-30;19.5;50.0;53.0;23.0;3.0
2019-08-31;2019-08-31;20.5;52.0;44.0;20.0;3.5
2019-09-01;2019-09-01;15.0;52.5;44.0;12.0;3.0
2019-09-02;2019-09-02;18.0;39.5;46.0;17.0;3.0
2019-09-03;2019-09-03;19.0;38.5;55.0;18.5;3.0
2019-09-04;2019-09-04;17.0;43.0;30.0;7.0;3.0
2019-09-05;2019-09-05;9.0;30.5;35.0;10.0;3.0
2019-09-06;2019-09-06;11.0;15.5;43.0;8.0;3.0
2019-09-07;2019-09-07;13.0;23.0;43.0;9.0;3.0
2019-09-08;2019-09-08;16.0;26.0;40.0;15.0;3.5
2019-09-09;2019-09-09;14.0;32.5;28.0;9.0;4.0
2019-09-10;2019-09-10;9.5;26.5;36.0;8.5;3.0
2019-09-11;2019-09-11;13.5;16.0;35.0;14.0;3.5
2019-09-12;2019-09-12;18.5;25.5;31.0;15.0;3.0
2019-09-13;2019-09-13;14.0;30.0;26.0;11.0;4.0
2019-09-14;2019-09-14;16.0;32.0;25.0;13.0;4.0
2019-09-15;2019-09-15;18.0;38.5;33.0;20.5;3.0
2019-09-16;2019-09-16;23.0;40.0;45.0;19.5;3.0
2019-09-17;2019-09-17;16.5;55.5;31.0;20.0;3.0
2019-09-18;2019-09-18;19.5;36.0;36.0;21.0;3.0
2019-09-19;2019-09-19;23.5;41.0;28.0;13.0;2.5
2019-09-20;2019-09-20;23.0;50.5;23.0;13.0;3.0
2019-09-21;2019-09-21;19.0;51.5;23.0;9.0;3.0
2019-09-22;2019-09-22;12.0;49.0;23.0;20.0;3.5
2019-09-23;2019-09-23;17.0;30.0;30.0;19.5;3.0
2019-09-24;2019-09-24;14.0;38.0;26.0;15.5;3.0
2019-09-25;2019-09-25;14.0;32.0;28.0;21.0;3.0
2019-09-26;2019-09-26;21.5;30.0;28.0;30.0;3.0
2019-09-27;2019-09-27;16.0;45.5;34.0;26.5;3.5
2019-09-28;2019-09-28;19.0;32.5;33.0;21.0;3.0
2019-09-29;2019-09-29;18.0;48.0;27.0;28.5;3.5
2019-09-30;2019-09-30;22.5;40.0;18.0;28.5;4.0
2019-10-01;2019-10-01;16.0;46.5;30.0;12.5;2.5
2019-10-02;2019-10-02;14.0;32.0;21.0;24.5;3.0
2019-10-03;2019-10-03;21.5;27.0;8.5;30.5;4.0
2019-10-04;2019-10-04;19.0;40.0;35.0;19.5;2.5
2019-10-05;2019-10-05;16.5;40.5;34.0;20.0;3.0
2019-10-06;2019-10-06;15.0;36.5;21.0;32.5;4.0
2019-10-07;2019-10-07;20.5;34.5;27.0;31.5;4.0
2019-10-08;2019-10-08;22.0;35.5;29.0;26.0;4.0
2019-10-09;2019-10-09;18.5;49.0;30.0;24.0;3.0
2019-10-10;2019-10-10;25.0;36.0;27.0;24.5;3.0
2019-10-11;2019-10-11;23.5;53.5;25.0;11.0;2.5
2019-10-12;2019-10-12;19.5;48.0;30.0;15.5;3.0
2019-10-13;2019-10-13;22.0;41.0;27.0;12.5;3.0
2019-10-14;2019-10-14;7.5;49.0;20.0;13.5;3.0
2019-10-15;2019-10-15;10.0;18.5;21.0;19.0;3.0
2019-10-16;2019-10-16;14.5;21.5;11.0;22.0;3.0
2019-10-17;2019-10-17;11.0;33.0;12.0;15.0;3.0
2019-10-18;2019-10-18;9.0;31.5;22.0;10.5;2.5
2019-10-19;2019-10-19;6.5;22.5;21.0;8.0;4.0
2019-10-20;2019-10-20;6.5;18.0;19.0;20.0;3.5
2019-10-21;2019-10-21;8.0;18.0;14.0;19.0;3.0
2019-10-22;2019-10-22;7.5;19.5;14.0;15.5;3.0
2019-10-23;2019-10-23;7.0;22.5;15.0;21.0;3.0
2019-10-24;2019-10-24;19.5;20.5;15.0;31.0;4.5
2019-10-25;2019-10-25;25.5;50.0;19.0;28.5;4.5
2019-10-26;2019-10-26;19.0;61.5;20.0;25.0;5.0
2019-10-27;2019-10-27;21.0;50.5;25.0;28.5;4.5
2019-10-28;2019-10-28;29.5;55.5;7.0;30.0;4.0
2019-10-29;2019-10-29;43.5;68.5;19.0;26.0;3.5
2019-10-30;2019-10-30;16.5;98.5;16.0;15.0;3.0
2019-10-31;2019-10-31;12.0;45.5;12.5;8.0;3.0
2019-11-01;2019-11-01;12.5;33.5;19.5;5.5;3.0
2019-11-02;2019-11-02;8.0;32.5;28.0;5.0;3.0
2019-11-03;2019-11-03;8.0;20.5;22.0;8.0;3.0
2019-11-04;2019-11-04;7.0;17.0;18.0;12.5;3.5
2019-11-05;2019-11-05;6.0;16.0;17.0;14.5;3.0
2019-11-06;2019-11-06;8.0;15.5;18.0;12.5;4.0
2019-11-07;2019-11-07;6.0;18.5;19.0;11.5;5.0
2019-11-08;2019-11-08;6.0;14.0;24.0;9.5;5.0
2019-11-09;2019-11-09;6.0;15.5;26.0;10.0;3.5
2019-11-10;2019-11-10;7.5;17.0;19.0;22.0;4.0
2019-11-11;2019-11-11;11.0;20.0;20.0;21.0;5.0
2019-11-12;2019-11-12;9.0;27.5;19.0;11.0;4.0
2019-11-13;2019-11-13;7.0;22.5;16.0;11.5;5.0
2019-11-14;2019-11-14;5.0;21.0;16.0;14.5;5.0
2019-11-15;2019-11-15;6.0;13.0;22.0;13.0;3.5
2019-11-16;2019-11-16;8.0;16.5;18.0;12.5;3.5
2019-11-17;2019-11-17;7.5;20.5;17.0;23.0;4.5
2019-11-18;2019-11-18;15.5;22.5;9.0;32.0;5.5
2019-11-19;2019-11-19;19.0;42.0;6.0;27.5;4.5
2019-11-20;2019-11-20;18.5;51.0;3.5;26.5;5.0
2019-11-21;2019-11-21;9.5;58.5;18.5;20.5;3.5
2019-11-22;2019-11-22;6.0;26.5;31.0;9.0;4.0
2019-11-23;2019-11-23;7.0;15.5;28.0;9.0;4.0
2019-11-24;2019-11-24;9.0;18.5;20.0;14.0;5.0
2019-11-25;2019-11-25;10.5;25.5;19.0;16.5;3.5
2019-11-26;2019-11-26;10.0;26.0;23.0;11.0;4.0
2019-11-27;2019-11-27;11.0;22.0;22.0;13.5;6.0
2019-11-28;2019-11-28;10.5;22.5;21.0;14.0;6.0
2019-11-29;2019-11-29;10.5;27.5;22.0;11.0;6.0
2019-11-30;2019-11-30;7.5;28.0;17.0;14.0;6.0
2019-12-01;2019-12-01;6.0;23.5;22.0;13.0;6.0
2019-12-02;2019-12-02;6.5;16.0;20.0;15.5;4.5
2019-12-03;2019-12-03;8.0;20.5;17.0;20.5;6.0
2019-12-04;2019-12-04;7.5;24.0;10.5;15.5;6.0
2019-12-05;2019-12-05;8.5;19.5;19.0;15.5;4.5
2019-12-06;2019-12-06;20.0;25.0;7.0;24.0;5.0
2019-12-07;2019-12-07;23.0;59.5;2.0;23.0;4.5
2019-12-08;2019-12-08;20.0;64.0;8.0;21.0;4.0
2019-12-09;2019-12-09;32.0;59.0;2.0;29.0;4.5
2019-12-10;2019-12-10;20.5;76.0;9.5;20.5;4.5
2019-12-11;2019-12-11;8.5;50.5;23.0;15.0;4.5
2019-12-12;2019-12-12;6.0;23.5;26.0;12.0;4.5
2019-12-13;2019-12-13;7.5;16.5;23.0;13.5;4.0
2019-12-14;2019-12-14;7.0;22.5;22.0;16.5;4.0
2019-12-15;2019-12-15;12.0;23.5;16.0;16.5;4.0
2019-12-16;2019-12-16;12.0;35.5;18.0;18.0;4.0
2019-12-17;2019-12-17;12.5;38.5;15.0;23.0;4.5
2019-12-18;2019-12-18;8.5;34.5;23.0;17.5;4.0
2019-12-19;2019-12-19;5.5;27.0;24.0;11.5;2.0
2019-12-20;2019-12-20;7.5;21.0;24.5;5.0;6.0
2019-12-21;2019-12-21;13.0;22.5;24.0;6.0;2.0
2019-12-22;2019-12-22;14.0;30.0;22.0;23.0;5.0
2019-12-23;2019-12-23;20.5;35.5;6.0;29.0;6.0
2019-12-24;2019-12-24;15.0;56.5;9.0;21.5;5.5
2019-12-25;2019-12-25;19.0;52.0;7.5;25.0;6.0
2019-12-26;2019-12-26;13.5;57.0;10.0;28.0;8.0
2019-12-27;2019-12-27;24.0;35.5;5.0;33.5;8.5
2019-12-28;2019-12-28;18.5;64.0;9.0;31.5;4.5
2019-12-29;2019-12-29;;55.0;;;
2019-12-31;2019-12-31;35.5;;5.0;28.5;4.0
2020-01-01;2020-01-01;28.0;98.0;4.0;28.0;6.0
2020-01-02;2020-01-02;45.0;74.0;1.0;32.0;5.5
2020-01-03;2020-01-03;10.0;110.0;19.0;17.0;2.5
2020-01-04;2020-01-04;13.0;31.0;11.0;22.0;3.5
2020-01-05;2020-01-05;19.0;38.0;8.0;25.0;4.0
2020-01-06;2020-01-06;31.0;60.0;2.0;38.5;5.5
2020-01-07;2020-01-07;35.0;75.5;5.0;45.0;6.0
2020-01-08;2020-01-08;31.5;76.0;8.0;38.0;4.5
2020-01-09;2020-01-09;13.5;73.0;28.0;21.5;2.0
2020-01-10;2020-01-10;10.5;37.0;19.0;24.5;3.0
2020-01-11;2020-01-11;25.0;30.0;9.0;32.5;3.5
2020-01-12;2020-01-12;32.5;71.0;10.0;36.5;4.5
2020-01-13;2020-01-13;29.5;81.5;15.0;32.5;3.0
2020-01-14;2020-01-14;33.0;77.5;3.0;37.0;3.0
2020-01-15;2020-01-15;33.0;80.0;13.0;31.5;3.0
2020-01-16;2020-01-16;15.0;73.5;25.0;21.5;2.0
2020-01-17;2020-01-17;12.0;39.5;20.0;24.0;2.0
2020-01-18;2020-01-18;6.0;44.0;27.0;12.0;2.0
2020-01-19;2020-01-19;7.5;17.5;25.0;12.5;2.0
2020-01-20;2020-01-20;6.0;16.5;23.0;12.0;2.0
2020-01-21;2020-01-21;18.0;16.0;23.0;18.5;2.5
2020-01-22;2020-01-22;47.0;37.0;19.0;19.5;2.0
2020-01-23;2020-01-23;32.0;68.0;16.0;20.0;1.5
2020-01-24;2020-01-24;16.5;56.0;18.0;16.5;2.0
2020-01-25;2020-01-25;12.0;44.5;21.0;17.0;2.0
2020-01-26;2020-01-26;12.5;43.5;21.0;20.5;2.0
2020-01-27;2020-01-27;7.5;40.0;21.0;11.0;2.0
2020-01-28;2020-01-28;10.0;18.5;20.0;12.5;2.0
2020-01-29;2020-01-29;12.0;22.0;23.0;14.5;2.0
2020-01-30;2020-01-30;9.0;32.5;22.0;13.5;2.0
2020-01-31;2020-01-31;6.0;24.0;20.0;9.0;2.0
2020-02-01;2020-02-01;14.0;19.0;11.0;15.0;
2020-02-02;2020-02-02;37.0;44.5;8.0;21.5;4.0
2020-02-03;2020-02-03;43.0;72.5;13.0;28.5;5.5
2020-02-04;2020-02-04;11.0;77.5;23.0;25.5;3.0
2020-02-05;2020-02-05;22.5;27.5;12.0;28.0;2.5
2020-02-06;2020-02-06;27.5;52.5;14.0;25.5;2.0
2020-02-07;2020-02-07;32.0;64.0;17.0;24.5;2.0
2020-02-08;2020-02-08;21.5;73.5;17.0;18.5;2.0
2020-02-09;2020-02-09;19.5;60.0;12.0;23.5;2.0
2020-02-10;2020-02-10;33.5;55.5;3.0;25.5;2.0
2020-02-11;2020-02-11;30.5;83.0;1.0;22.5;1.5
2020-02-12;2020-02-12;22.0;79.5;15.0;19.0;2.0
2020-02-13;2020-02-13;26.5;60.0;9.0;22.5;2.0
2020-02-14;2020-02-14;26.5;66.5;19.0;22.0;2.0
2020-02-15;2020-02-15;21.0;69.0;23.0;19.5;2.0
2020-02-16;2020-02-16;13.5;62.0;13.0;18.0;2.0
2020-02-17;2020-02-17;13.5;44.0;16.0;20.0;2.5
2020-02-18;2020-02-18;13.0;35.5;23.0;21.0;2.5
2020-02-19;2020-02-19;25.0;33.5;12.0;34.0;3.5
2020-02-20;2020-02-20;23.0;56.0;22.0;32.0;2.5
2020-02-21;2020-02-21;25.0;47.0;21.0;32.5;3.0
2020-02-22;2020-02-22;17.5;55.0;29.0;26.5;2.5
2020-02-23;2020-02-23;22.5;44.5;26.0;31.0;2.5
2020-02-24;2020-02-24;21.0;52.0;28.0;27.0;3.0
2020-02-25;2020-02-25;10.5;49.0;29.0;11.5;2.0
2020-02-26;2020-02-26;57.5;22.5;26.0;14.5;2.0
2020-02-27;2020-02-27;56.5;58.5;21.0;26.5;2.5
2020-02-28;2020-02-28;38.0;75.5;29.0;11.0;2.0
2020-02-29;2020-02-29;8.5;51.0;26.0;5.5;2.0
2020-03-01;2020-03-01;6.5;19.5;30.0;7.0;2.0
2020-03-02;2020-03-02;10.0;16.5;21.0;13.0;1.0
2020-03-03;2020-03-03;8.5;26.5;23.0;11.0;2.0
2020-03-04;2020-03-04;9.5;23.5;32.0;9.5;2.0
2020-03-05;2020-03-05;6.0;22.5;31.0;10.5;2.0
2020-03-06;2020-03-06;9.0;14.5;30.0;16.5;2.0
2020-03-07;2020-03-07;11.5;21.5;26.0;18.0;2.5
2020-03-08;2020-03-08;10.5;37.0;30.0;17.0;2.5
2020-03-09;2020-03-09;19.0;27.5;26.0;32.5;2.5
2020-03-10;2020-03-10;25.0;49.0;20.0;31.0;2.5
2020-03-11;2020-03-11;23.0;56.5;21.0;27.0;2.5
2020-03-12;2020-03-12;21.0;51.0;31.0;20.0;2.0
2020-03-13;2020-03-13;15.5;55.5;38.0;10.0;2.0
2020-03-14;2020-03-14;14.0;42.5;32.0;6.5;2.0
2020-03-15;2020-03-15;6.0;38.0;25.0;8.0;2.5
2020-03-16;2020-03-16;6.5;19.0;30.0;9.0;2.0
2020-03-17;2020-03-17;22.0;21.5;22.0;15.0;2.5
2020-03-18;2020-03-18;21.0;50.0;33.0;10.0;2.5
2020-03-19;2020-03-19;30.0;46.0;28.0;5.5;1.5
2020-03-20;2020-03-20;12.5;46.0;27.0;6.0;1.5
2020-03-21;2020-03-21;6.0;32.5;29.0;4.5;2.0
2020-03-22;2020-03-22;6.0;18.5;27.0;9.0;2.0
2020-03-23;2020-03-23;9.0;21.5;27.0;6.5;2.5
2020-03-24;2020-03-24;13.5;26.5;31.0;8.0;1.0
2020-03-25;2020-03-25;10.5;34.5;35.0;12.0;2.0
2020-03-26;2020-03-26;10.5;30.5;34.0;6.5;2.0
2020-03-27;2020-03-27;7.5;37.5;37.0;7.5;2.0
2020-03-28;2020-03-28;9.0;27.5;14.0;16.5;2.0
2020-03-29;2020-03-29;8.0;33.0;;6.0;
2020-03-30;2020-03-30;4.0;26.0;;13.0;
2020-03-31;2020-03-31;7.0;17.0;30.0;9.5;2.0
2020-04-01;2020-04-01;7.5;25.0;29.0;10.0;2.0
