date, pm10, o3, no2, so2, co
2020/8/10, 27, 36, 17, , 
2020/8/11, 28, 39, 6, , 
2020/8/12, 33, 34, 7, , 
2020/8/13, 38, 35, 7, , 
2020/8/14, 31, 35, 4, , 
2020/8/15, 27, 35, 4, , 
2020/8/16, 28, 33, 7, , 
2020/8/17, 25, 32, 6, , 
2020/8/18, 32, 37, 8, , 
2020/8/19, 27, 30, 11, , 
2020/8/20, 26, 29, 6, , 
2020/8/21, 29, 30, 4, , 
2020/8/22, 26, 30, 6, , 
2020/8/23, 21, 31, 5, , 
2020/8/24, 21, 31, 9, , 
2020/8/25, 30, 29, 7, , 
2020/8/26, 28, 30, 7, , 
2020/8/27, 23, 31, 7, , 
2020/8/28, 20, 22, 5, , 
2020/8/29, 14, 32, 5, , 
2020/8/30, 12, 33, 7, , 
2020/8/31, 13, 32, 13, , 
2020/9/1, 19, 41, 11, , 
2020/9/2, 19, 39, 13, , 
2020/9/3, 21, 40, 12, , 
2020/9/4, 24, 41, 9, , 
2020/9/5, 17, 41, 6, , 
2020/9/6, 20, 30, 7, , 
2020/9/7, 18, 33, 10, , 
2020/9/8, 15, 32, 16, , 
2020/9/9, 16, 39, 14, , 
2020/9/10, 16, 42, 8, , 
2020/9/11, 16, 40, 12, , 
2020/9/12, 18, 43, 12, , 
2020/9/13, 22, 40, 22, , 
2020/9/14, 30, 37, 12, , 
2020/9/15, 28, 35, 15, , 
2020/9/16, 33, 32, 14, , 
2020/9/17, 39, 26, 19, , 
2020/9/18, 39, 32, 9, , 
2020/9/19, 29, 34, 5, , 
2020/9/20, 15, 23, 13, , 
2020/9/21, 16, 37, 7, , 
2020/9/22, 16, 38, 7, , 
2020/9/23, 20, 30, 6, , 
2020/9/24, 24, 28, 1, , 
2020/9/25, 29, 27, , , 
2020/9/26, 18, 25, 3, , 
2020/9/27, 17, 31, 1, , 
2020/9/28, 20, 35, 14, , 
2020/9/29, 27, 35, 15, , 
2020/9/30, 28, 38, 14, , 
2020/4/1, 16, 36, 3, , 
2020/4/2, 14, 42, 9, , 
2020/4/3, 18, 41, 9, , 
2020/4/4, 13, 44, 5, , 
2020/4/5, 11, 47, 11, , 
2020/4/6, 13, 48, 11, , 
2020/4/7, 14, 47, 10, , 
2020/4/8, 14, 43, 9, , 
2020/4/9, 16, 50, 6, , 
2020/4/10, 18, 48, 7, , 
2020/4/11, 20, 46, 4, , 
2020/4/12, 19, 44, 2, , 
2020/4/13, 14, 38, 6, , 
2020/4/14, 12, 39, 6, , 
2020/4/15, 21, 35, 4, , 
2020/4/16, 28, 34, 7, , 
2020/4/17, 27, 34, 5, , 
2020/4/18, 26, 30, 3, , 
2020/4/19, 16, 25, 9, , 
2020/4/20, 7, 34, 5, , 
2020/4/21, 5, 34, 3, , 
2020/4/22, 12, 35, 6, , 
2020/4/23, 16, 42, 11, , 
2020/4/24, 21, 41, 8, , 
2020/4/25, 19, 37, 3, , 
2020/4/26, 14, 33, 7, , 
2020/4/27, 17, 36, 4, , 
2020/4/28, 14, 38, 5, , 
2020/4/29, 14, 36, 7, , 
2020/4/30, 17, 24, 4, , 
2020/5/1, 16, 28, 4, , 
2020/5/2, 14, 24, 7, , 
2020/5/3, 13, 31, 11, , 
2020/5/4, 19, 31, 12, , 
2020/5/5, 25, 37, 13, , 
2020/5/6, 25, 37, 8, , 
2020/5/7, 19, 38, 4, , 
2020/5/8, 18, 37, 3, , 
2020/5/9, 21, 34, 3, , 
2020/5/10, 28, 34, 5, , 
2020/5/11, 19, 31, 5, , 
2020/5/12, 16, 40, 6, , 
2020/5/13, 16, 31, 6, , 
2020/5/14, 16, 39, 7, , 
2020/5/15, 14, 28, 4, , 
2020/5/16, 11, 35, 2, , 
2020/5/17, 14, 43, 12, , 
2020/5/18, 22, 45, 10, , 
2020/5/19, 24, 47, 19, , 
2020/5/20, 31, 44, 14, , 
2020/5/21, 34, 44, 11, , 
2020/5/22, 30, 42, 6, , 
2020/5/23, 21, 32, 3, , 
2020/5/24, 19, 36, 9, , 
2020/5/25, 23, 47, 13, , 
2020/5/26, 24, 46, 9, , 
2020/5/27, 21, 37, 6, , 
2020/5/28, 20, 42, 8, , 
2020/5/29, 24, 37, 5, , 
