date, pm10, o3, no2, so2, co
2020/8/6, 21, 25, 18, , 
2020/8/7, 22, 33, 16, , 
2020/8/8, 23, 41, 17, , 
2020/8/9, 22, 27, 22, , 
2020/8/10, 25, 29, 18, , 
2020/8/11, 26, 33, 13, , 
2020/8/12, 26, 29, 13, , 
2020/8/13, 34, 28, 14, , 
2020/8/14, 34, 29, 7, , 
2020/8/15, 26, 34, 7, , 
2020/8/16, 27, 26, 12, , 
2020/8/17, 22, 28, 13, , 
2020/8/18, 21, 27, 12, , 
2020/8/19, 22, 24, 13, , 
2020/8/20, 22, 26, 9, , 
2020/8/21, 23, 25, 9, , 
2020/8/22, 26, 24, 9, , 
2020/8/23, 18, 24, 12, , 
2020/8/24, 20, 23, 12, , 
2020/8/25, 22, 22, 11, , 
2020/8/26, 23, 22, 13, , 
2020/8/27, 20, 23, 14, , 
2020/8/28, 21, 18, 9, , 
2020/8/29, 14, 26, 8, , 
2020/8/30, 10, 24, 13, , 
2020/8/31, 11, 25, 21, , 
2020/9/1, 14, 30, 16, , 
2020/9/2, 17, 29, 20, , 
2020/9/3, 17, 28, 22, , 
2020/9/4, 20, 34, 12, , 
2020/9/5, 18, 36, 13, , 
2020/9/6, 17, 22, 12, , 
2020/9/7, 18, 25, 21, , 
2020/9/8, 15, 21, 24, , 
2020/9/9, 18, 28, 21, , 
2020/9/10, 16, 36, 15, 1, 
2020/9/11, 13, 31, 21, , 
2020/9/13, 20, 26, 33, , 
2020/9/14, 27, 24, 21, , 
2020/9/15, 25, 24, 24, 1, 
2020/9/16, 26, 22, 28, , 
2020/9/17, 34, 16, 29, , 
2020/9/18, 34, 26, 17, , 
2020/9/19, 28, 26, 9, , 
2020/9/20, 14, 18, 23, , 
2020/9/21, 12, 25, 22, , 
2020/9/22, 15, 26, 23, , 
2020/9/23, 16, 24, 16, , 
2020/9/24, 18, 22, 8, , 
2020/9/25, 17, 24, 7, , 
2020/9/26, 18, 20, 11, , 
2020/9/27, 9, 20, 17, , 
2020/9/28, 14, 25, 23, , 
2020/9/29, 20, 25, 22, , 
2020/9/30, 22, 26, 21, , 
2020/4/1, 15, 35, 6, , 
2020/4/2, 12, 37, 14, , 
2020/4/3, 17, 37, 14, , 
2020/4/4, 16, 41, 10, , 
2020/4/5, 14, 40, 14, , 
2020/4/6, 14, 44, 14, , 
2020/4/7, 15, 42, 15, , 
2020/4/8, 15, 39, 13, , 
2020/4/9, 16, 43, 15, , 
2020/4/10, 19, 42, 10, , 
2020/4/11, 20, 43, 7, , 
2020/4/12, 19, 38, 4, , 
2020/4/13, 15, 35, 9, , 
2020/4/14, 9, 36, 10, , 
2020/4/15, 18, 33, 6, , 
2020/4/16, 25, 26, 11, , 
2020/4/17, 25, 32, 7, , 
2020/4/18, 22, 26, 5, , 
2020/4/19, 16, 17, 12, , 
2020/4/20, 7, 30, 9, , 
2020/4/21, 6, 31, 5, , 
2020/4/22, 9, 34, 7, , 
2020/4/23, 14, 34, 13, , 
2020/4/24, 17, 37, 8, , 
2020/4/25, 15, 33, 6, , 
2020/4/26, 11, 28, 7, , 
2020/4/27, 11, 29, 4, , 
2020/4/28, 12, 32, 6, , 
2020/4/29, 11, 31, 10, , 
2020/4/30, 16, 20, 5, , 
2020/5/1, 15, 29, 6, , 
2020/5/2, 14, 20, 9, , 
2020/5/3, 13, 23, 17, 1, 
2020/5/4, 16, 26, 16, , 
2020/5/5, 20, 29, 17, , 
2020/5/6, 23, 34, 13, 1, 
2020/5/7, 22, 32, 7, , 
2020/5/8, 17, 31, 5, , 
2020/5/9, 20, 28, 4, , 
2020/5/10, 26, 27, 6, , 
2020/5/11, 15, 28, 9, , 
2020/5/12, 15, 33, 8, , 
2020/5/13, 12, 24, 10, , 
2020/5/14, 16, 34, 8, , 
2020/5/15, 13, 22, 7, , 
2020/5/16, 11, 30, 4, , 
2020/5/17, 10, 34, 14, , 
2020/5/18, 18, 33, 20, , 
2020/5/19, 24, 37, 24, , 
2020/5/20, 29, 34, 23, , 
2020/5/21, 34, 37, 18, , 
2020/5/22, 32, 33, 11, , 
2020/5/23, 24, 27, 5, , 
2020/5/24, 19, 25, 14, , 
2020/5/25, 24, 33, 23, , 
2020/5/26, 28, 39, 13, , 
2020/5/27, 27, 28, 10, , 
2020/5/28, 22, 29, 13, , 
2020/5/29, 26, 30, 8, , 
2020/5/30, 22, 33, 7, , 
2020/5/31, 14, 31, 10, , 
2020/6/1, 15, 26, 19, , 
2020/6/2, 17, 25, 12, , 
2020/6/3, 19, 31, 11, , 
2020/6/4, 18, 31, 11, , 
2020/6/5, 17, 32, 10, , 
2020/6/6, 19, 24, 5, , 
2020/6/7, 18, 21, 11, , 
2020/6/8, 10, 22, 13, , 
2020/6/9, 14, 31, 16, , 
2020/6/10, 15, 26, 13, , 
2020/6/11, 16, 30, 12, , 
2020/6/12, 26, 31, 11, , 
2020/6/13, 20, 32, 8, , 
2020/6/14, 15, 26, 16, , 
2020/6/15, 21, 19, 15, , 
2020/6/16, 20, 26, 16, , 
2020/6/17, 14, 25, 12, , 
2020/6/18, 14, 25, 18, , 
2020/6/19, 13, 24, 12, , 
2020/6/20, 17, 27, 13, , 
2020/6/21, 20, 19, 22, , 
2020/6/22, 21, 19, 14, , 
2020/6/23, 23, 26, 9, , 
2020/6/24, 60, 23, 21, , 
2020/6/25, 23, 30, 27, , 
2020/6/26, 23, 23, 13, , 
2020/6/27, 23, 27, 10, , 
2020/6/28, 30, 21, 17, , 
2020/6/29, 30, 19, 18, , 
2020/6/30, 26, 20, 20, , 
2020/1/1, 16, 12, 21, , 
2020/1/2, 17, 10, 20, , 
2020/1/3, 19, 10, 19, , 
2020/1/4, 21, 9, 19, , 
2020/1/5, 14, 16, 24, , 
2020/1/6, 18, 6, 27, , 
2020/1/7, 23, 7, 38, 1, 
2020/1/8, 30, 16, 31, 1, 
2020/1/9, 30, 7, 32, , 
2020/1/10, 19, 12, 18, , 
2020/1/11, 14, 15, 24, , 
2020/1/12, 13, 18, 23, , 
2020/1/13, 14, 12, 33, , 
2020/1/14, 22, 10, 40, 1, 
2020/1/15, 34, 8, 37, 1, 
2020/1/16, 35, 19, 27, , 
2020/1/17, 28, 17, 21, , 
2020/1/18, 18, 28, 13, , 
2020/1/19, 13, 28, 11, , 
2020/1/20, 12, 29, 10, , 
2020/1/21, 15, 27, 19, , 
2020/1/22, 33, 24, 25, 1, 
2020/1/23, 50, 6, 32, 1, 
2020/1/24, 60, 14, 26, , 
2020/1/25, 74, 16, 18, , 
2020/1/26, 56, 14, 21, , 
2020/1/27, 26, 15, 21, , 
2020/1/28, 18, 6, 33, 1, 
2020/1/29, 21, 9, 30, , 
2020/1/30, 26, 4, 37, 1, 
2020/1/31, 28, 7, 26, 1, 
2020/2/1, 31, 14, 19, 1, 
2020/2/2, 24, 4, 31, 1, 
2020/2/3, 21, 12, 18, , 
2020/2/4, 43, 17, 22, 1, 
2020/2/5, 28, 21, 27, , 
